freq,unit,wat_proc,wat_src,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,MIO_M3,ABS_IND,FSW,UK	695.90 	483.50 	950.00 	815.05 s	680.10 	: 	: 	: 	: 	: 	: 	: 
A,MIO_M3,ABS_IND,FSW,XK	15.83 	15.11 	15.22 	15.65 	13.79 	17.39 	16.60 	15.49 	15.12 	16.32 	: 	: 
A,MIO_M3,ABS_IND_CL,FSW,AL	: 	: 	: 	: 	: 	: 	: 	0.70 e	0.44 	0.50 	0.48 	0.20 
A,MIO_M3,ABS_IND_CL,FSW,BA	: 	: 	23.00 	23.92 	18.91 	23.51 	27.52 	34.52 	33.18 	34.74 	34.58 	38.40 
A,MIO_M3,ABS_IND_CL,FSW,BE	854.00 s	809.41 	821.47 	762.44 	779.92 	682.09 	703.62 	777.92 	755.44 	716.78 	: 	: 
A,MIO_M3,ABS_IND_CL,FSW,BG	35.61 	26.59 	27.01 	24.69 	24.53 	27.47 	25.90 	27.50 	23.85 	23.84 	26.29 	: 
A,MIO_M3,ABS_IND_CL,FSW,CH	: 	: 	0.00 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_M3,ABS_IND_CL,FSW,CZ	53.10 	48.00 	48.20 	32.00 	41.60 	39.90 	35.90 	33.50 	37.40 	36.10 	31.30 	30.90 
A,MIO_M3,ABS_IND_CL,FSW,DE	3194.23 e	3092.41 s	2990.59 s	2888.77 e	2943.43 s	2998.09 s	3052.75 e	2960.83 s	2868.92 s	2777.00 e	: 	: 
A,MIO_M3,ABS_IND_CL,FSW,DK	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 p	0.00 p
A,MIO_M3,ABS_IND_CL,FSW,ES	133.70 	147.50 e	125.90 e	125.10 e	120.00 e	121.20 	141.90 e	143.60 e	131.60 e	125.30 e	122.80 e	: 
