freq,treespec,prod_wd,stk_flow,unit,geo\TIME_PERIOD	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,CONIF,PN_PY,EXP,THS_M3,DK	: 	: 	: 	0 p	27 	51 	22 	20 	30 	38 	43.78 	53.84 	54.6 	47.27 	37.84 e	30.72 e	33.9 	37.92 e	26.11 e	26.39 	40.56 	13.07 	50.79 	22.96 	20.41 	: 	: 	: 	: 	: 	: 
A,CONIF,PN_PY,EXP,THS_M3,EE	: 	: 	: 	15.62 p	14.38 p	13.14 p	11.9 	10.65 	10.78 	10.84 	10.1 	11.36 	6.84 	7.32 	6.21 	8.69 	4.32 	2.04 	14.33 	5.62 	4.32 	6.6 	4.29 	4.59 	6.78 	4.5 	5.38 	9.62 	10.63 	13.66 	10.42 
A,CONIF,PN_PY,EXP,THS_M3,EL	: 	: 	: 	0.08 p	0.09 p	0.09 p	0.1 	0.1 	0.4 	0.69 e	0.17 e	0.67 	1.54 	1.71 	1.45 	2.18 	0.4 	6.98 e	0.7 e	12.5 	5.17 e	31.81 	1.24 	1.42 	1.42 p	1.42 p	: 	0.24 	0.27 	: 	: 
A,CONIF,PN_PY,EXP,THS_M3,ES	: 	: 	: 	: 	76.9 e	76.9 e	143 	83 	50 	43 	45 	47 	62 	65 	91 	129 	110.5 	94.35 	123.5 	145.21 	130.67 	86.07 	67.71 	79.25 	53.66 	47.43 	47.36 	46.42 	41.6 	76.86 	84.88 
A,CONIF,PN_PY,EXP,THS_M3,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1747.51 	: 	: 	: 	: 	: 	: 
A,CONIF,PN_PY,EXP,THS_M3,FI	: 	: 	: 	3.9 p	130.34 p	256.77 p	383.2 	510 	546 	520.3 	621.71 	683.94 	714.27 	675.82 	727.1 	664.32 	633.4 	414.34 	560.27 	574.14 	562.28 e	602.34 	643.57 	636.02 	611.57 	666.41 	670.91 	626.25 	572.94 	673.57 	658.09 p
A,CONIF,PN_PY,EXP,THS_M3,FR	: 	: 	: 	48.68 p	65 p	81.32 p	97.6 	114 	93.1 	74.88 	6.33 	74.9 	79.51 	86.19 	82 	91.79 e	129.73 e	68.02 e	88.87 e	86.52 p	74.6 e	77.07 e	75.67 	71.84 	70.16 	80.41 	90.37 	77.54 	86.78 	81.89 e	65.4 e
A,CONIF,PN_PY,EXP,THS_M3,HR	: 	: 	: 	: 	4.8 e	5.3 e	0 	0 	0.2 	0.2 	0 	0 	2 	3 	2 	3 	4 	4 	5 	6 	6 	5.1 	4.6 	4.25 	4 	1.92 	4.13 	1.69 	1.16 	2.55 	0.57 
A,CONIF,PN_PY,EXP,THS_M3,HU	: 	: 	: 	0.2 p	0.9 p	1.6 p	2.3 	3 	1.1 	1 	2 	2 	1 	16 	11 	2 	2.5 	1.99 	1.22 	1.92 	3.28 	2.95 	2.72 	4.51 	4.32 	2.57 	2.02 	4.78 	3.75 	4.09 	: 
A,CONIF,PN_PY,EXP,THS_M3,IE	: 	: 	: 	: 	2 e	3 e	18 	1 	7 	5.06 e	0.6 	0.4 	1.62 	0.64 	0.86 	0 	0 	0.05 	0.1 	0.02 	0.33 	0.01 	0 	0.21 	0.03 	0.02 	0.02 	0 	: 	0.08 	0.69 
A,CONIF,PN_PY,EXP,THS_M3,IS	: 	: 	: 	: 	3 e	3 e	3 e	: 	0 	0 	0 	: 	0.1 	0.03 	0.08 	0 	0 	: 	0 	0.02 	1.9 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,CONIF,PN_PY,EXP,THS_M3,IT	: 	: 	: 	: 	117 e	125 e	139 e	51 	48 	59 e	69.99 	73.58 	56.3 	40.17 	90.2 	30.96 	24.29 	19.43 	60 	60 	47.08 e	48.28 	52.34 	52.9 	52.54 	53.51 	40.58 	35.06 	34.46 	48.94 	117.4 
A,CONIF,PN_PY,EXP,THS_M3,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CONIF,PN_PY,EXP,THS_M3,LT	: 	: 	: 	0.39 p	0.29 p	0.2 p	0.1 	0.01 	0 	0 	0 	0 	0 	3.71 	2.03 	3.1 	1.01 	0.92 	3.4 	3.72 	1.7 	0.45 	0.32 	1.41 	2.86 	6.66 	4.48 	3.52 	3.41 	1.79 	: 
A,CONIF,PN_PY,EXP,THS_M3,LU	: 	: 	: 	: 	: 	: 	: 	0.11 	0.33 	0.12 e	0.11 	0.21 e	0.12 e	0.13 	1.87 	0.02 	0.3 	0.03 	1.26 	0.07 	0.33 	0.07 	: 	: 	0.03 	: 	: 	: 	0 	0.02 	0.02 
A,CONIF,PN_PY,EXP,THS_M3,LV	: 	: 	: 	: 	62.29 	82.76 	0 	3 	0 	0.84 	1.14 	1.02 	0.59 	0.24 	0.79 	1.77 	0.21 	0.62 	0.34 	1.59 e	1.95 	1.59 	1.38 	1.5 	7.73 	14.88 	11.01 	7.66 	11.7 	11.86 	14.55 
A,CONIF,PN_PY,EXP,THS_M3,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.01 	0.01 	0 	0 	0.05 	0 	0 	0.04 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
A,CONIF,PN_PY,EXP,THS_M3,NL	: 	: 	: 	39 p	32 p	25 p	18 	13 	15 	17.9 	7 	5.2 	8.8 	6 	11.3 	10.5 	13.2 	10.9 	10.8 	14.5 	13.8 	12.45 	14.3 	8.3 	7.8 	7.2 	9.6 	14.1 	17.8 	20.6 	: 
A,CONIF,PN_PY,EXP,THS_M3,NO	: 	: 	: 	: 	5.33 	5.45 	1 	1.77 	1.08 	1 	1.59 	0.57 	0.8 	0.49 	1.08 	1.12 	0.62 	0.37 	0.78 	2.58 	2.98 	1.28 	1.54 	1.24 	0.06 	15.31 	15.46 	15.4 	15.33 	6.78 	4.78 
A,CONIF,PN_PY,EXP,THS_M3,PL	: 	: 	: 	: 	19.4 	27.8 	26.5 	29.5 	30 	32.5 	32 	36.7 	41 	45.2 	42.2 	68.73 	53.36 	51.02 	60.15 	59.89 	43.63 	51.46 	57.7 	70.88 	75.89 	119.7 	138.66 	136.07 	158.97 	185.84 	150.73 
A,CONIF,PN_PY,EXP,THS_M3,PT	: 	: 	: 	7.8 p	6.6 p	5.4 p	4.2 	3 	4.47 	5 	10 	9 	6 	7 	6 	21 	7.38 	17.93 	15.47 	91.66 	79.24 	7.88 	131.9 	24.79 	7.74 	8.04 	33.14 	21.85 	28.17 	31.8 	36.72 
A,CONIF,PN_PY,EXP,THS_M3,RO	: 	: 	: 	19 p	20 p	21 p	22 	23 	36.2 	40 	55 	61 	89 	85 	25 	3 	2.9 	3.26 	3.27 	3.47 	23.31 	19.8 	18.62 	14.29 	15.74 	0.42 	0.04 	33.52 	34.97 	38.76 p	16.14 p
A,CONIF,PN_PY,EXP,THS_M3,SE	: 	: 	: 	145.87 p	121.9 p	97.94 p	74 	52 	50.4 e	44 e	38 e	31 	22 e	22 e	46 	59.55 e	38.67 	32.4 	29.95 	32.07 	30.97 	31.69 	23.66 	20.42 	18.67 	15 	15.13 	17.52 	24.66 	33.75 	22.04 
A,CONIF,PN_PY,EXP,THS_M3,SI	: 	: 	: 	1.3 p	1.09 p	0.87 p	0.7 	0.44 	0.96 	1.25 	1.84 	2.52 	8.67 	27.2 	69.35 	72.8 	57.29 	62.71 	55.93 	50.58 	40.75 	38.77 	43.76 	51 	59.67 	60.04 	67.64 	66.44 	73.4 	73.17 	66.45 
A,CONIF,PN_PY,EXP,THS_M3,SK	: 	: 	: 	0 p	25.97 p	14 p	15.8 	: 	8 	7 	8 	12 	15 	7 	8 	5 	9.04 	9.68 	13 	21.9 	28.23 	26.57 	69.96 	76.03 	89.18 	94.72 	104.6 	99.6 	87.84 	97.2 	0.05 
