freq,stk_flow,indic_fo,unit,geo\TIME_PERIOD	1990 	2000 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,BAL,FOR,THS_HA,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 
A,BAL,FOR,THS_HA,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-3 	: 	: 
A,BAL,FOR,THS_HA,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16.9 	15.2 	12.9 	11.5 	11.6 	2.7 	0.7 	3 	: 
A,BAL,FOR,THS_HA,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 
A,BAL,FOR,THS_HA,RO	: 	: 	: 	: 	: 	: 	: 	-7.39 	: 	: 	: 	7.1 	: 	: 	4.15 	-9.15 	20.96 	: 	: 
A,BAL,FOR,THS_HA,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 
A,BAL,OLWTC_AWS,MIO_EUR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.22 	: 	: 	: 	: 	: 	-7.01 	: 	: 
A,BAL,OLWTC_AWS,MIO_NAC,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.97 	: 	: 	: 	: 	: 	-33.93 	: 	: 
A,BAL,OLWTC_AWS,THS_HA,AT	: 	: 	0.09 	0.09 	0.09 	0.09 	0.09 	0.17 	0.17 	0.17 	0.01 	0.01 	0.01 	-0.3 	-0.3 	-0.3 	-0.3 	-0.3 	-0.3 
A,BAL,OLWTC_AWS,THS_HA,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	: 	: 
A,BAL,OLWTC_AWS,THS_HA,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.28 	0.1 	-0.28 	-0.24 	-0.2 	0.05 	-0.11 	-0.1 	: 	: 
A,BAL,OLWTC_AWS,THS_HA,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.66 	: 	: 
A,BAL,OLWTC_AWS,THS_HA,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 
A,BAL,OLWTC_AWS,THS_HA,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.47 	: 	: 	: 	0.52 	: 	-10.16 	: 	: 
A,BAL,OWL,MIO_EUR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	: 
A,BAL,OWL,MIO_EUR,RO	: 	: 	: 	: 	: 	: 	: 	-0.68 	-0.14 	: 	-0.2 	: 	: 	: 	: 	: 	-0.32 	: 	: 
A,BAL,OWL,MIO_NAC,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	: 
