A,THS_HA,FOWL,PRO_BIO,SE	778.49 	1858.13 	1939.51 	2098.95 	2149.22 
A,THS_HA,FOWL,PRO_BIO,SI	69.7 	84.4 	178 	177.1 	186.2 
A,THS_HA,FOWL,PRO_BIO,SK	: 	312.9 	334.4 	71 	70.8 
A,THS_HA,FOWL,PRO_BIO,UK	: 	: 	: 	290 e	290 e
A,THS_HA,FOWL,PRO_LSC,AT	: 	902.5 	902.5 	367.4 	333.19 
A,THS_HA,FOWL,PRO_LSC,BE	: 	27.2 	27.3 	26.32 	26.32 
A,THS_HA,FOWL,PRO_LSC,BG	23 	93 	145 	425 	425 
A,THS_HA,FOWL,PRO_LSC,CY	0 	0 	0 	0 	0 
A,THS_HA,FOWL,PRO_LSC,CZ	: 	562.68 	588.5 	588.5 	588.5 
A,THS_HA,FOWL,PRO_LSC,DE	: 	4686 	5273 	5958 	5958 
A,THS_HA,FOWL,PRO_LSC,DK	0 	0 	79.79 	85.94 	86.6 
A,THS_HA,FOWL,PRO_LSC,EE	: 	144.47 	237.89 	235.76 	219.95 
A,THS_HA,FOWL,PRO_LSC,EL	: 	: 	33 	33 	33 
A,THS_HA,FOWL,PRO_LSC,ES	0 	: 	0 	209.96 	210.37 
A,THS_HA,FOWL,PRO_LSC,EU27_2020	1188.75 	10490.63 	13270.46 	15508.06 	15485.75 
A,THS_HA,FOWL,PRO_LSC,EU28	1188.75 	10490.63 	13270.46 	15508.06 	15485.75 
A,THS_HA,FOWL,PRO_LSC,FI	: 	593 	1209 	876 	876 
A,THS_HA,FOWL,PRO_LSC,FR	: 	: 	: 	2664.39 	2664.39 
A,THS_HA,FOWL,PRO_LSC,HR	1 	3 	3 	4 	4 
A,THS_HA,FOWL,PRO_LSC,HU	252.05 	172.85 	186.06 	210.39 	211.65 
A,THS_HA,FOWL,PRO_LSC,IT	838 	: 	1059.22 	1059.22 	1059.22 
A,THS_HA,FOWL,PRO_LSC,LT	: 	155 	177 	174 	174 
A,THS_HA,FOWL,PRO_LSC,LU	0 	0 	0 	: 	: 
A,THS_HA,FOWL,PRO_LSC,LV	: 	142.33 	157.58 	159.2 	162.49 
A,THS_HA,FOWL,PRO_LSC,NL	: 	33 	33 	33 	33 
A,THS_HA,FOWL,PRO_LSC,PL	: 	1346 	1403 	1308 	1307.8 
A,THS_HA,FOWL,PRO_LSC,PT	: 	944.9 	944.9 	: 	1.26 
A,THS_HA,FOWL,PRO_LSC,RO	: 	: 	140.5 	140.5 	140.5 
A,THS_HA,FOWL,PRO_LSC,SE	74.7 	85.9 	87.82 	93.78 	95.81 
A,THS_HA,FOWL,PRO_LSC,SI	: 	51 	81.1 	81.1 	91.8 
A,THS_HA,FOWL,PRO_LSC,SK	: 	547.8 	501.3 	774.6 	782.9 
