Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2025,Reported Value 2030,Reported Value 2035,Reported Value 2040
3. Agriculture,WEM,Total,8329.96,8440.32,8550.68,8661.04,8771.4,8884.58,8997.76,9110.94,9224.12,9337.3,9459.18,9581.06,9702.94,9824.82,9946.7,10043.84,10140.98,10238.12,10335.26,10432.4,10432.4,10432.4,10432.4,10432.4,10432.4,10432.4,10432.4,10432.4,10432.4,10432.4,8771.41878072404,9337.253976985,9946.72725825362,10432.3993096801
"4. Land Use, Land-Use Change and Forestry (LULUCF, reported emissions and removals) (9)",WAM,Total,-5218.62,-5021.04,-4823.46,-4625.88,-4428.3,-4498.6,-4568.9,-4639.2,-4709.5,-4779.8,-4852.56,-4925.32,-4998.08,-5070.84,-5143.6,-5234.72,-5325.84,-5416.96,-5508.08,-5599.2,-5599.2,-5599.2,-5599.2,-5599.2,-5599.2,-5599.2,-5599.2,-5599.2,-5599.2,-5599.2,,,,
"4. Land Use, Land-Use Change and Forestry (LULUCF, reported emissions and removals) (9)",WEM,Total,-5218.62,-5021.04,-4823.46,-4625.88,-4428.3,-4498.6,-4568.9,-4639.2,-4709.5,-4779.8,-4852.56,-4925.32,-4998.08,-5070.84,-5143.6,-5234.72,-5325.84,-5416.96,-5508.08,-5599.2,-5599.2,-5599.2,-5599.2,-5599.2,-5599.2,-5599.2,-5599.2,-5599.2,-5599.2,-5599.2,-4428.30959723573,-4779.81424276791,-5143.64475031189,-5599.23594936898
4.A. Forest land,WAM,Total,-2255.0,-2253.1,-2251.2,-2249.3,-2247.4,-2331.02,-2414.64,-2498.26,-2581.88,-2665.5,-2747.28,-2829.06,-2910.84,-2992.62,-3074.4,-3174.64,-3274.88,-3375.12,-3475.36,-3575.6,-3575.6,-3575.6,-3575.6,-3575.6,-3575.6,-3575.6,-3575.6,-3575.6,-3575.6,-3575.6,,,,
4.A. Forest land,WEM,Total,-2255.0,-2253.1,-2251.2,-2249.3,-2247.4,-2331.02,-2414.64,-2498.26,-2581.88,-2665.5,-2747.28,-2829.06,-2910.84,-2992.62,-3074.4,-3174.64,-3274.88,-3375.12,-3475.36,-3575.6,-3575.6,-3575.6,-3575.6,-3575.6,-3575.6,-3575.6,-3575.6,-3575.6,-3575.6,-3575.6,-2247.3563822585,-2665.52901280173,-3074.40594224804,-3575.5999009218
4.B. Cropland,WAM,Total,-1297.32,-1333.94,-1370.56,-1407.18,-1443.8,-1457.66,-1471.52,-1485.38,-1499.24,-1513.1,-1526.94,-1540.78,-1554.62,-1568.46,-1582.3,-1596.14,-1609.98,-1623.82,-1637.66,-1651.5,-1651.5,-1651.5,-1651.5,-1651.5,-1651.5,-1651.5,-1651.5,-1651.5,-1651.5,-1651.5,,,,
4.B. Cropland,WEM,Total,-1297.32,-1333.94,-1370.56,-1407.18,-1443.8,-1457.66,-1471.52,-1485.38,-1499.24,-1513.1,-1526.94,-1540.78,-1554.62,-1568.46,-1582.3,-1596.14,-1609.98,-1623.82,-1637.66,-1651.5,-1651.5,-1651.5,-1651.5,-1651.5,-1651.5,-1651.5,-1651.5,-1651.5,-1651.5,-1651.5,-1443.79219263096,-1513.05383525271,-1582.2559617261,-1651.4580881995
4.C. Grassland,WAM,Total,-1691.48,-1451.26,-1211.04,-970.82,-730.6,-703.02,-675.44,-647.86,-620.28,-592.7,-569.14,-545.58,-522.02,-498.46,-474.9,-451.36,-427.82,-404.28,-380.74,-357.2,-357.2,-357.2,-357.2,-357.2,-357.2,-357.2,-357.2,-357.2,-357.2,-357.2,,,,
4.C. Grassland,WEM,Total,-1691.48,-1451.26,-1211.04,-970.82,-730.6,-703.02,-675.44,-647.86,-620.28,-592.7,-569.14,-545.58,-522.02,-498.46,-474.9,-451.36,-427.82,-404.28,-380.74,-357.2,-357.2,-357.2,-357.2,-357.2,-357.2,-357.2,-357.2,-357.2,-357.2,-357.2,-730.591848507773,-592.669495327555,-474.934488553616,-357.209481779678
4.D. Wetlands,WAM,Total,1.1,1.2,1.3,1.4,1.5,1.48,1.46,1.44,1.42,1.4,1.36,1.32,1.28,1.24,1.2,1.18,1.16,1.14,1.12,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,,,,
4.D. Wetlands,WEM,Total,1.1,1.2,1.3,1.4,1.5,1.48,1.46,1.44,1.42,1.4,1.36,1.32,1.28,1.24,1.2,1.18,1.16,1.14,1.12,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.49668911501412,1.40172217792026,1.24686667014859,1.09201116237693
4.E. Settlements,WAM,Total,131.04,131.28,131.52,131.76,132.0,132.16,132.32,132.48,132.64,132.8,132.88,132.96,133.04,133.12,133.2,133.38,133.56,133.74,133.92,134.1,134.1,134.1,134.1,134.1,134.1,134.1,134.1,134.1,134.1,134.1,,,,
4.E. Settlements,WEM,Total,131.04,131.28,131.52,131.76,132.0,132.16,132.32,132.48,132.64,132.8,132.88,132.96,133.04,133.12,133.2,133.38,133.56,133.74,133.92,134.1,134.1,134.1,134.1,134.1,134.1,134.1,134.1,134.1,134.1,134.1,132.008741421051,132.770562897412,133.168167583553,134.132109984041
4.F. Other Land,WAM,Total,78.78,78.06,77.34,76.62,75.9,75.38,74.86,74.34,73.82,73.3,72.54,71.78,71.02,70.26,69.5,68.76,68.02,67.28,66.54,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,,,,
4.F. Other Land,WEM,Total,78.78,78.06,77.34,76.62,75.9,75.38,74.86,74.34,73.82,73.3,72.54,71.78,71.02,70.26,69.5,68.76,68.02,67.28,66.54,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,75.9253956254305,73.2658155387516,69.5366079621645,65.8074003855774
