Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2025,Reported Value 2030
1.A.5. Other,WEM,ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.A.5. Other,WEM,Total,105.50133,105.5003,105.49927,105.49824,105.49721,105.49721,105.49721,105.49721,105.49721,105.49721,105.49808,105.49808,105.49808,105.49808,105.49808,105.49808,105.49808,105.49808,105.49808,105.49808,105.49808,105.49808,105.49808,105.49808,105.49808,105.49808,105.49808,105.49808,105.49808,105.49808,105.501334544529,105.497213666754,105.497213666754
1.B. Fugitive emissions from fuels,WAM,ESR,560.12757,560.09933,560.07109,560.04285,560.01461,560.01461,560.01461,560.01461,560.01461,560.01461,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.127573066341,560.014608334774,560.014608334774
1.B. Fugitive emissions from fuels,WAM,ETS,98.06881,102.5322,106.99559,111.45898,115.92237,115.92237,115.92237,115.92237,115.92237,115.92237,115.922368164971,115.922368164971,115.922368164971,115.922368164971,115.922368164971,115.922368164971,115.922368164971,115.922368164971,115.922368164971,115.922368164971,115.922368164971,115.922368164971,115.922368164971,115.922368164971,115.922368164971,115.922368164971,115.922368164971,115.922368164971,115.922368164971,115.922368164971,98.06881,115.922366855341,115.922366855341
1.B. Fugitive emissions from fuels,WAM,Total,658.19638,662.63153,667.06668,671.50183,675.93698,675.93698,675.93698,675.93698,675.93698,675.93698,675.93697,675.93697,675.93697,675.93697,675.93697,675.93697,675.93697,675.93697,675.93697,675.93697,675.93697,675.93697,675.93697,675.93697,675.93697,675.93697,675.93697,675.93697,675.93697,675.93697,658.196383066341,675.936975190114,675.936975190114
1.B. Fugitive emissions from fuels,WEM,ESR,560.12757,560.09933,560.07109,560.04285,560.01461,560.01461,560.01461,560.01461,560.01461,560.01461,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.014601835029,560.127573066341,560.014608334774,560.014608334774
1.B. Fugitive emissions from fuels,WEM,ETS,98.06881,102.5322,106.99559,111.45898,115.92237,115.92237,115.92237,115.92237,115.92237,115.92237,115.922368164971,115.922368164971,115.922368164971,115.922368164971,115.922368164971,115.922368164971,115.922368164971,115.922368164971,115.922368164971,115.922368164971,115.922368164971,115.922368164971,115.922368164971,115.922368164971,115.922368164971,115.922368164971,115.922368164971,115.922368164971,115.922368164971,115.922368164971,98.06881,115.922366855341,115.922366855341
1.B. Fugitive emissions from fuels,WEM,Total,658.19638,662.63153,667.06668,671.50183,675.93698,675.93698,675.93698,675.93698,675.93698,675.93698,675.93697,675.93697,675.93697,675.93697,675.93697,675.93697,675.93697,675.93697,675.93697,675.93697,675.93697,675.93697,675.93697,675.93697,675.93697,675.93697,675.93697,675.93697,675.93697,675.93697,658.196383066341,675.936975190114,675.936975190114
1.C. CO2 transport and storage,WAM,ESR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
1.C. CO2 transport and storage,WAM,ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
