Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2025,Reported Value 2030,Reported Value 2035,Reported Value 2040,Reported Value 2045,Reported Value 2050
1.A.3.c. Railways,WEM,Total,27.92,28.34,28.76,29.18,29.6,29.88,30.16,30.44,30.72,31.0,,,,,,,,,,,,,,,,,,,,,29.5697719401924,30.9839198923234,,,,
1.A.3.d. Domestic navigation,WAM,ESR,304.38,317.46,330.54,343.62,356.7,358.98,361.26,363.54,365.82,368.1,372.48,376.86,381.24,385.62,390.0,391.14,392.28,393.42,394.56,395.7,398.76,401.82,404.88,407.94,411.0,411.98,412.96,413.94,414.92,415.9,356.662791380847,368.106028158601,390.004686048761,395.670402121334,410.99871108327,415.909614158913
1.A.3.d. Domestic navigation,WAM,Total,304.38,317.46,330.54,343.62,356.7,358.98,361.26,363.54,365.82,368.1,372.48,376.86,381.24,385.62,390.0,391.14,392.28,393.42,394.56,395.7,398.76,401.82,404.88,407.94,411.0,411.98,412.96,413.94,414.92,415.9,356.662791380847,368.106028158601,390.004686048761,395.670402121334,410.99871108327,415.909614158913
1.A.3.d. Domestic navigation,WEM,ESR,304.44,317.58,330.72,343.86,357.0,359.06,361.12,363.18,365.24,367.3,371.82,376.34,380.86,385.38,389.9,391.66,393.42,395.18,396.94,398.7,402.0,405.3,408.6,411.9,415.2,416.92,418.64,420.36,422.08,423.8,356.98568204257,367.318025589565,389.935009901707,398.699360299818,415.23095896886,423.783545557531
1.A.3.d. Domestic navigation,WEM,Total,304.44,317.58,330.72,343.86,357.0,359.06,361.12,363.18,365.24,367.3,371.82,376.34,380.86,385.38,389.9,391.66,393.42,395.18,396.94,398.7,402.0,405.3,408.6,411.9,415.2,416.92,418.64,420.36,422.08,423.8,356.98568204257,367.318025589565,389.935009901707,398.699360299818,415.23095896886,423.783545557531
1.A.4. Other sectors,WAM,ESR,4758.44,4722.08,4685.72,4649.36,4613.0,4532.72,4452.44,4372.16,4291.88,4211.6,3986.86,3762.12,3537.38,3312.64,3087.9,2898.52,2709.14,2519.76,2330.38,2141.0,2020.98,1900.96,1780.94,1660.92,1540.9,1465.22,1389.54,1313.86,1238.18,1162.5,4612.99744378563,4211.57439226894,3087.85541520848,2140.96943688237,1540.92206933668,1162.47068945207
1.A.4. Other sectors,WAM,Total,4758.44,4722.08,4685.72,4649.36,4613.0,4532.72,4452.44,4372.16,4291.88,4211.6,3986.86,3762.12,3537.38,3312.64,3087.9,2898.52,2709.14,2519.76,2330.38,2141.0,2020.98,1900.96,1780.94,1660.92,1540.9,1465.22,1389.54,1313.86,1238.18,1162.5,4612.99744378563,4211.57439226894,3087.85541520848,2140.96943688237,1540.92206933668,1162.47068945207
1.A.4. Other sectors,WEM,ESR,4759.22,4723.64,4688.06,4652.48,4616.9,4586.8,4556.7,4526.6,4496.5,4466.4,4373.44,4280.48,4187.52,4094.56,4001.6,3986.28,3970.96,3955.64,3940.32,3925.0,3876.76,3828.52,3780.28,3732.04,3683.8,3646.48,3609.16,3571.84,3534.52,3497.2,4616.85626484649,4466.39347889194,4001.62786354727,3924.96579205229,3683.76059692395,3497.24271703124
1.A.4. Other sectors,WEM,Total,4759.22,4723.64,4688.06,4652.48,4616.9,4586.8,4556.7,4526.6,4496.5,4466.4,4373.44,4280.48,4187.52,4094.56,4001.6,3986.28,3970.96,3955.64,3940.32,3925.0,3876.76,3828.52,3780.28,3732.04,3683.8,3646.48,3609.16,3571.84,3534.52,3497.2,4616.85626484649,4466.39347889194,4001.62786354727,3924.96579205229,3683.76059692395,3497.24271703124
1.A.5. Other,WAM,ESR,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,,,,,,
