Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2022,Reported Value 2023,Reported Value 2024,Reported Value 2025,Reported Value 2026,Reported Value 2027,Reported Value 2028,Reported Value 2029,Reported Value 2030,Reported Value 2031,Reported Value 2032,Reported Value 2033,Reported Value 2034,Reported Value 2035,Reported Value 2036,Reported Value 2037,Reported Value 2038,Reported Value 2039,Reported Value 2040,Reported Value 2045,Reported Value 2050
1.A.3.c. Railways,WEM,ESR,32.7,33.8,34.9,36.0,37.1,38.1,39.2,40.3,41.4,42.5,43.2,43.9,44.7,45.4,46.1,46.9,47.7,48.5,49.3,50.0,51.1,52.2,53.3,54.4,55.5,56.6,57.7,58.8,59.9,61.0,32.7339258855121,33.8144652970366,34.8950047085612,35.9755441200857,37.0560835316102,38.1410854419426,39.226087352275,40.3110892626076,41.39609117294,42.4810930832726,43.2073803307913,43.9336675783097,44.6599548258284,45.3862420733471,46.112529320866,46.8998444980937,47.6871596753211,48.4744748525486,49.2617900297763,50.0491052070037,55.5383042370834,61.0275032671631
1.A.3.c. Railways,WEM,Total,32.7,33.8,34.9,36.0,37.1,38.1,39.2,40.3,41.4,42.5,43.2,43.9,44.7,45.4,46.1,46.9,47.7,48.5,49.3,50.0,51.1,52.2,53.3,54.4,55.5,56.6,57.7,58.8,59.9,61.0,32.7339258855121,33.8144652970366,34.8950047085612,35.9755441200857,37.0560835316102,38.1410854419426,39.226087352275,40.3110892626076,41.39609117294,42.4810930832726,43.2073803307913,43.9336675783097,44.6599548258284,45.3862420733471,46.112529320866,46.8998444980937,47.6871596753211,48.4744748525486,49.2617900297763,50.0491052070037,55.5383042370834,61.0275032671631
1.A.3.c. Railways,WOM,ESR,32.8,33.2,33.6,33.9,34.3,34.6,35.0,35.3,35.6,36.0,36.3,36.6,37.0,37.3,37.6,38.0,38.3,38.7,39.0,39.3,39.94,40.58,41.22,41.86,42.5,43.14,43.78,44.42,45.06,45.7,32.823727934011,33.1927029666463,33.5616779992815,33.9306530319167,34.299628064552,34.6325899891403,34.9655519137287,35.298513838317,35.6314757629052,35.9644376874936,36.3007358994821,36.6370341114706,36.973332323459,37.3096305354475,37.6459287474359,37.9841419612202,38.3223551750045,38.6605683887888,38.9987816025731,39.3369948163574,42.5419592730234,45.7469237296895
1.A.3.c. Railways,WOM,Total,32.8,33.2,33.6,33.9,34.3,34.6,35.0,35.3,35.6,36.0,36.3,36.6,37.0,37.3,37.6,38.0,38.3,38.7,39.0,39.3,39.94,40.58,41.22,41.86,42.5,43.14,43.78,44.42,45.06,45.7,32.823727934011,33.1927029666463,33.5616779992815,33.9306530319167,34.299628064552,34.6325899891403,34.9655519137287,35.298513838317,35.6314757629052,35.9644376874936,36.3007358994821,36.6370341114706,36.973332323459,37.3096305354475,37.6459287474359,37.9841419612202,38.3223551750045,38.6605683887888,38.9987816025731,39.3369948163574,42.5419592730234,45.7469237296895
1.A.3.e. Other transportation,WAM,ESR,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.1,3.1,3.0,3.0,3.0,2.9,2.9,2.9,2.8,2.8,2.7,2.7,2.6,2.38,2.16,1.94,1.72,1.5,1.28,1.06,0.84,0.62,0.4,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704414,3.26506358914579,3.20742561124745,3.1497876333491,3.09214965545076,3.0345116775524,3.00569268860323,2.97687369965406,2.94805471070489,2.91923572175571,2.89041673280655,2.8327787549082,2.77514077700986,2.71750279911151,2.65986482121317,2.60222684331479,1.52151475772082,0.440802672126843
1.A.3.e. Other transportation,WAM,Total,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.1,3.1,3.0,3.0,3.0,2.9,2.9,2.9,2.8,2.8,2.7,2.7,2.6,2.38,2.16,1.94,1.72,1.5,1.28,1.06,0.84,0.62,0.4,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704414,3.26506358914579,3.20742561124745,3.1497876333491,3.09214965545076,3.0345116775524,3.00569268860323,2.97687369965406,2.94805471070489,2.91923572175571,2.89041673280655,2.8327787549082,2.77514077700986,2.71750279911151,2.65986482121317,2.60222684331479,1.52151475772082,0.440802672126843
1.A.3.e. Other transportation,WEM,ESR,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413
1.A.3.e. Other transportation,WEM,Total,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413,3.32270156704413
1.A.3.e. Other transportation,WOM,ESR,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813
1.A.3.e. Other transportation,WOM,Total,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813,7.24694945075813
1.A.4. Other sectors,WAM,ESR,1173.2,1111.3,1049.3,987.3,925.4,871.8,818.3,764.7,711.1,657.6,619.8,582.0,544.2,506.4,468.6,437.6,406.5,375.5,344.4,313.4,291.38,269.36,247.34,225.32,203.3,181.3,159.3,137.3,115.3,93.3,1173.22573179923,1111.26361127536,1049.30149075148,987.339370227615,925.377249703731,871.819063785021,818.260877866303,764.702691947592,711.144506028874,657.586320110157,619.792065644221,581.99781117829,544.20355671236,506.40930224642,468.615047780488,437.564678424696,406.5143090689,375.463939713108,344.41357035731,313.363201001518,203.327392814698,93.2915846278782
1.A.4. Other sectors,WAM,Total,1173.2,1111.3,1049.3,987.3,925.4,871.8,818.3,764.7,711.1,657.6,619.8,582.0,544.2,506.4,468.6,437.6,406.5,375.5,344.4,313.4,291.38,269.36,247.34,225.32,203.3,181.3,159.3,137.3,115.3,93.3,1173.22573179923,1111.26361127536,1049.30149075148,987.339370227615,925.377249703731,871.819063785021,818.260877866303,764.702691947592,711.144506028874,657.586320110157,619.792065644221,581.99781117829,544.20355671236,506.40930224642,468.615047780488,437.564678424696,406.5143090689,375.463939713108,344.41357035731,313.363201001518,203.327392814698,93.2915846278782
1.A.4. Other sectors,WEM,ESR,1228.8,1174.8,1120.8,1066.9,1012.9,971.2,929.5,887.8,846.1,804.4,775.6,746.7,717.8,688.9,660.0,641.6,623.2,604.7,586.3,567.8,556.36,544.92,533.48,522.04,510.6,499.16,487.72,476.28,464.84,453.4,1228.75848369097,1174.79944548399,1120.84040727701,1066.88136907003,1012.92233086305,971.227334490851,929.532338118654,887.837341746459,846.142345374262,804.447349002055,775.563775001779,746.680201001494,717.796627001209,688.913053000933,660.029479000651,641.590560529628,623.151642058604,604.712723587581,586.273805116557,567.834886645531,510.609054605555,453.383222565579
1.A.4. Other sectors,WEM,Total,1228.8,1174.8,1120.8,1066.9,1012.9,971.2,929.5,887.8,846.1,804.4,775.6,746.7,717.8,688.9,660.0,641.6,623.2,604.7,586.3,567.8,556.36,544.92,533.48,522.04,510.6,499.16,487.72,476.28,464.84,453.4,1228.75848369097,1174.79944548399,1120.84040727701,1066.88136907003,1012.92233086305,971.227334490851,929.532338118654,887.837341746459,846.142345374262,804.447349002055,775.563775001779,746.680201001494,717.796627001209,688.913053000933,660.029479000651,641.590560529628,623.151642058604,604.712723587581,586.273805116557,567.834886645531,510.609054605555,453.383222565579
1.A.4. Other sectors,WOM,ESR,1490.3,1469.4,1448.4,1427.5,1406.6,1401.8,1397.1,1392.3,1387.6,1382.8,1373.0,1363.1,1353.3,1343.5,1333.6,1330.5,1327.3,1324.2,1321.0,1317.9,1314.14,1310.38,1306.62,1302.86,1299.1,1295.36,1291.62,1287.88,1284.14,1280.4,1490.3026954168,1469.37174735308,1448.44079928936,1427.50985122563,1406.57890316191,1401.82896969275,1397.07903622358,1392.32910275442,1387.57916928526,1382.82923581609,1372.98784830461,1363.14646079313,1353.30507328165,1343.46368577016,1333.62229825868,1330.47040402625,1327.31850979381,1324.16661556138,1321.01472132895,1317.86282709652,1299.1461129196,1280.42939874268
