Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050
2. Industrial processes,WAM,Total,6461.46,6545.42,6629.38,6713.34,6797.3,6495.16,6193.02,5890.88,5588.74,5286.6,5046.58,4806.56,4566.54,4326.52,4086.5,4000.0,3913.5,3827.0,3740.5,3654.0,3650.26,3646.52,3642.78,3639.04,3635.3,3633.6,3631.9,3630.2,3628.5,3626.8
2. Industrial processes,WEM,ESR,1526.2,1491.6,1457.0,1422.4,1387.8,1338.6,1289.4,1240.2,1191.0,1141.8,1115.58,1089.36,1063.14,1036.92,1010.7,1002.82,994.94,987.06,979.18,971.3,970.58,969.86,969.14,968.42,967.7,965.14,962.58,960.02,957.46,954.9
2. Industrial processes,WEM,ETS,4935.36,5053.92,5172.48,5291.04,5409.6,5156.64,4903.68,4650.72,4397.76,4144.8,3931.0,3717.2,3503.4,3289.6,3075.8,2997.2,2918.6,2840.0,2761.4,2682.8,2679.74,2676.68,2673.62,2670.56,2667.5,2668.38,2669.26,2670.14,2671.02,2671.9
2. Industrial processes,WEM,Total,6461.46,6545.42,6629.38,6713.34,6797.3,6495.16,6193.02,5890.88,5588.74,5286.6,5046.58,4806.56,4566.54,4326.52,4086.5,4000.0,3913.5,3827.0,3740.5,3654.0,3650.26,3646.52,3642.78,3639.04,3635.3,3633.6,3631.9,3630.2,3628.5,3626.8
3. Agriculture,WAM,ESR,6738.04,6679.38,6620.72,6562.06,6503.4,6439.94,6376.48,6313.02,6249.56,6186.1,6165.96,6145.82,6125.68,6105.54,6085.4,6065.26,6045.12,6024.98,6004.84,5984.7,5963.82,5942.94,5922.06,5901.18,5880.3,5859.44,5838.58,5817.72,5796.86,5776.0
3. Agriculture,WAM,Total,6738.04,6679.38,6620.72,6562.06,6503.4,6439.94,6376.48,6313.02,6249.56,6186.1,6165.96,6145.82,6125.68,6105.54,6085.4,6065.26,6045.12,6024.98,6004.84,5984.7,5963.82,5942.94,5922.06,5901.18,5880.3,5859.44,5838.58,5817.72,5796.86,5776.0
3. Agriculture,WEM,ESR,6738.04,6679.38,6620.72,6562.06,6503.4,6439.94,6376.48,6313.02,6249.56,6186.1,6165.96,6145.82,6125.68,6105.54,6085.4,6065.26,6045.12,6024.98,6004.84,5984.7,5963.82,5942.94,5922.06,5901.18,5880.3,5859.44,5838.58,5817.72,5796.86,5776.0
3. Agriculture,WEM,Total,6738.04,6679.38,6620.72,6562.06,6503.4,6439.94,6376.48,6313.02,6249.56,6186.1,6165.96,6145.82,6125.68,6105.54,6085.4,6065.26,6045.12,6024.98,6004.84,5984.7,5963.82,5942.94,5922.06,5901.18,5880.3,5859.44,5838.58,5817.72,5796.86,5776.0
"4. Land Use, Land-Use Change and Forestry (LULUCF, reported emissions and removals) (9)",WAM,Total,-41339.34,-41392.08,-41444.82,-41497.56,-41550.3,-41840.68,-42131.06,-42421.44,-42711.82,-43002.2,-43357.08,-43711.96,-44066.84,-44421.72,-44776.6,-43614.36,-42452.12,-41289.88,-40127.64,-38965.4,-39606.1,-40246.8,-40887.5,-41528.2,-42168.9,-42809.62,-43450.34,-44091.06,-44731.78,-45372.5
"4. Land Use, Land-Use Change and Forestry (LULUCF, reported emissions and removals) (9)",WEM,Total,-41339.34,-41392.08,-41444.82,-41497.56,-41550.3,-41840.68,-42131.06,-42421.44,-42711.82,-43002.2,-43357.08,-43711.96,-44066.84,-44421.72,-44776.6,-43614.36,-42452.12,-41289.88,-40127.64,-38965.4,-39606.1,-40246.8,-40887.5,-41528.2,-42168.9,-42809.62,-43450.34,-44091.06,-44731.78,-45372.5
