Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2025,Reported Value 2030,Reported Value 2035,Reported Value 2040,Reported Value 2045,Reported Value 2050
1.A.3.a. Domestic aviation,WEM,ESR,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128
1.A.3.a. Domestic aviation,WEM,Total,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468
1.A.3.b. Road transportation,WAM,ESR,9741.512,9792.40594,9843.29988,9894.19381,9945.08775,9872.74523,9800.4027,9728.06018,9655.71766,9583.37513,9403.32243,9223.26973,9043.21702,8863.16432,8683.11162,8556.73711,8430.36261,8303.98811,8177.61361,8051.2391,8051.2391,8051.2391,8051.2391,8051.2391,8051.2391,8051.2391,8051.2391,8051.2391,8051.2391,8051.2391,9741.512,9945.08775285253,9583.37513251282,8683.11161650669,8051.23910488854,8051.23910488854,8051.23910488854
1.A.3.b. Road transportation,WAM,Total,9741.512,9792.40594,9843.29988,9894.19381,9945.08775,9872.74523,9800.4027,9728.06018,9655.71766,9583.37513,9403.32243,9223.26973,9043.21702,8863.16432,8683.11162,8556.73711,8430.36261,8303.98811,8177.61361,8051.2391,8051.2391,8051.2391,8051.2391,8051.2391,8051.2391,8051.2391,8051.2391,8051.2391,8051.2391,8051.2391,9741.512,9945.08775285253,9583.37513251282,8683.11161650669,8051.23910488854,8051.23910488854,8051.23910488854
1.A.3.b. Road transportation,WEM,ESR,9741.512,9793.16135,9844.81069,9896.46004,9948.10939,9865.39622,9782.68305,9699.96987,9617.2567,9534.54353,9384.11808,9233.69263,9083.26718,8932.84172,8782.41627,8679.43814,8576.46001,8473.48188,8370.50375,8267.52562,8267.52562,8267.52562,8267.52562,8267.52562,8267.52562,8267.52562,8267.52562,8267.52562,8267.52562,8267.52562,9741.512,9948.10938776775,9534.54353157463,8782.41627091157,8267.52561963019,8267.52561963019,8267.52561963019
1.A.3.b. Road transportation,WEM,Total,9741.512,9793.16135,9844.81069,9896.46004,9948.10939,9865.39622,9782.68305,9699.96987,9617.2567,9534.54353,9384.11808,9233.69263,9083.26718,8932.84172,8782.41627,8679.43814,8576.46001,8473.48188,8370.50375,8267.52562,8267.52562,8267.52562,8267.52562,8267.52562,8267.52562,8267.52562,8267.52562,8267.52562,8267.52562,8267.52562,9741.512,9948.10938776775,9534.54353157463,8782.41627091157,8267.52561963019,8267.52561963019,8267.52561963019
1.A.3.c. Railways,WAM,ESR,35.087,33.71875,32.35051,30.98226,29.61402,28.24314,26.87226,25.50138,24.1305,22.75962,22.24794,21.73625,21.22457,20.71289,20.2012,19.99294,19.78468,19.57642,19.36816,19.1599,19.1599,19.1599,19.1599,19.1599,19.1599,19.1599,19.1599,19.1599,19.1599,19.1599,35.087,29.6140151031362,22.7596221611227,20.2012018759999,19.1599032392418,19.1599032392418,19.1599032392418
1.A.3.c. Railways,WAM,Total,35.087,33.71875,32.35051,30.98226,29.61402,28.24314,26.87226,25.50138,24.1305,22.75962,22.24794,21.73625,21.22457,20.71289,20.2012,19.99294,19.78468,19.57642,19.36816,19.1599,19.1599,19.1599,19.1599,19.1599,19.1599,19.1599,19.1599,19.1599,19.1599,19.1599,35.087,29.6140151031362,22.7596221611227,20.2012018759999,19.1599032392418,19.1599032392418,19.1599032392418
1.A.3.c. Railways,WEM,ESR,35.087,33.72939,32.37177,31.01416,29.65655,28.25978,26.86301,25.46623,24.06946,22.67269,22.25754,21.84238,21.42723,21.01207,20.59692,20.4414,20.28587,20.13035,19.97483,19.81931,19.81931,19.81931,19.81931,19.81931,19.81931,19.81931,19.81931,19.81931,19.81931,19.81931,35.087,29.6565476884128,22.6726929403206,20.5969163586912,19.8193108629116,19.8193108629116,19.8193108629116
1.A.3.c. Railways,WEM,Total,35.087,33.72939,32.37177,31.01416,29.65655,28.25978,26.86301,25.46623,24.06946,22.67269,22.25754,21.84238,21.42723,21.01207,20.59692,20.4414,20.28587,20.13035,19.97483,19.81931,19.81931,19.81931,19.81931,19.81931,19.81931,19.81931,19.81931,19.81931,19.81931,19.81931,35.087,29.6565476884128,22.6726929403206,20.5969163586912,19.8193108629116,19.8193108629116,19.8193108629116
1.A.3.d. Domestic navigation,WAM,ESR,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48
1.A.3.d. Domestic navigation,WAM,Total,4.48,4.47984,4.47984,4.47984,4.48,0.04384,0.04384,0.04384,0.04384,4.48,4.47984,4.47984,4.47984,4.47984,4.48,4.47984,4.47984,4.47984,4.47984,4.48,4.47984,4.47984,4.47984,4.47984,4.48,4.47984,4.47984,4.47984,4.47984,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48
1.A.3.d. Domestic navigation,WEM,ESR,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48
1.A.3.d. Domestic navigation,WEM,Total,4.48,4.47984,4.47984,4.47984,4.48,4.47984,4.47984,4.47984,4.47984,4.48,4.47984,4.47984,4.47984,4.47984,4.48,4.47984,4.47984,4.47984,4.47984,4.48,4.47984,4.47984,4.47984,4.47984,4.48,4.47984,4.47984,4.47984,4.47984,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48
1.A.3.e. Other transportation,WAM,ESR,125.705,122.72532,119.74565,116.76597,113.78629,117.51275,121.23921,124.96567,128.69212,132.41858,129.74105,127.06351,124.38598,121.70845,119.03091,115.04571,111.06052,107.07532,103.09012,99.10493,99.10493,99.10493,99.10493,99.10493,99.10493,99.10493,99.10493,99.10493,99.10493,99.10493,125.705,113.786293159556,132.418579895026,119.030911288051,99.1049279101852,99.1049279101852,99.1049279101852
1.A.3.e. Other transportation,WAM,Total,125.705,122.72532,119.74565,116.76597,113.78629,117.51275,121.23921,124.96567,128.69212,132.41858,129.74105,127.06351,124.38598,121.70845,119.03091,115.04571,111.06052,107.07532,103.09012,99.10493,99.10493,99.10493,99.10493,99.10493,99.10493,99.10493,99.10493,99.10493,99.10493,99.10493,125.705,113.786293159556,132.418579895026,119.030911288051,99.1049279101852,99.1049279101852,99.1049279101852
