Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050
1.A.3. Transport,WAM,Total,901.12624,974.45292,970.98888,951.05665,925.26477,887.69873,846.28997,811.08271,774.19013,730.2419,691.25164,650.20527,607.01333,561.71846,514.57686,465.82629,416.18141,366.59383,317.44347,268.83584,221.90855,176.5167,152.93816,136.15067,120.11947,104.87489,90.36905,76.57049,63.45977,55.50656
1.A.3. Transport,WEM,ESR,880.39082,950.4567,950.27327,935.61739,916.9199,886.46195,850.53555,810.63905,777.44757,741.32106,706.08465,668.24963,628.11047,586.00762,542.32508,497.18914,451.00088,404.36568,357.47039,310.41509,264.37172,219.17597,175.36895,137.14096,121.39631,106.36133,92.01575,78.34563,65.3425,57.48594
1.A.3. Transport,WEM,Total,901.12624,974.45292,975.08017,961.23463,943.31892,913.60261,877.40219,837.18037,803.59716,766.96488,731.05288,692.15193,650.40685,606.04861,559.47773,511.03999,461.52303,411.92451,362.66364,313.87385,266.63259,220.63996,176.31405,137.75169,121.7923,106.61932,92.18479,78.45709,65.41648,57.53538
1.A.3.a. Domestic aviation,WAM,ESR,0.15788,0.1827,0.18886,0.19503,0.20098,0.20662,0.20453,0.20206,0.19908,0.19523,0.19009,0.18197,0.16975,0.15259,0.13061,0.10548,0.08015,0.05759,0.03958,0.02638,0.01725,0.01118,0.00722,0.00467,0.00303,0.00198,0.0013,0.00086,0.00057,0.00038
1.A.3.a. Domestic aviation,WAM,Total,20.8933,24.17892,24.99576,25.81227,26.59999,27.34727,27.07117,26.74338,26.34867,25.83905,25.15832,24.08428,22.46613,20.19358,17.28326,13.95633,10.6023,7.61642,5.23283,3.48513,2.27812,1.47517,0.95233,0.6154,0.39902,0.25997,0.17034,0.11232,0.07455,0.04982
1.A.3.a. Domestic aviation,WEM,ESR,0.15788,0.1827,0.18886,0.19503,0.20098,0.20662,0.20453,0.20206,0.19908,0.19523,0.19009,0.18197,0.16975,0.15259,0.13061,0.10548,0.08015,0.05759,0.03958,0.02638,0.01725,0.01118,0.00722,0.00467,0.00303,0.00198,0.0013,0.00086,0.00057,0.00038
1.A.3.a. Domestic aviation,WEM,Total,20.8933,24.17892,24.99576,25.81227,26.59999,27.34727,27.07117,26.74338,26.34867,25.83905,25.15832,24.08428,22.46613,20.19358,17.28326,13.95633,10.6023,7.61642,5.23283,3.48513,2.27812,1.47517,0.95233,0.6154,0.39902,0.25997,0.17034,0.11232,0.07455,0.04982
1.A.3.b. Road transportation,WAM,ESR,859.60445,924.86282,920.58505,899.84253,873.27229,835.26444,794.13639,759.26452,722.77725,680.20184,643.2807,605.07107,565.63127,525.04844,483.42915,440.61291,396.7486,352.26183,307.23543,261.74098,217.05246,173.22112,150.71,134.64496,119.1001,104.18214,89.89557,76.2443,63.23265,55.34621
1.A.3.b. Road transportation,WAM,Total,859.60445,924.86282,920.58505,899.84253,873.27229,835.26444,794.13639,759.26452,722.77725,680.20184,643.2807,605.07107,565.63127,525.04844,483.42915,440.61291,396.7486,352.26183,307.23543,261.74098,217.05246,173.22112,150.71,134.64496,119.1001,104.18214,89.89557,76.2443,63.23265,55.34621
1.A.3.b. Road transportation,WEM,ESR,859.60445,924.86282,924.67634,910.02052,891.32644,861.16832,825.2486,785.36218,752.18429,716.92482,683.08194,647.01774,609.0248,569.37859,528.33002,485.82661,442.09022,397.59251,352.45559,306.77898,261.7765,217.34438,174.08589,136.24598,120.77292,105.92657,91.71131,78.13089,65.18937,57.37503
1.A.3.b. Road transportation,WEM,Total,859.60445,924.86282,924.67634,910.02052,891.32644,861.16832,825.2486,785.36218,752.18429,716.92482,683.08194,647.01774,609.0248,569.37859,528.33002,485.82661,442.09022,397.59251,352.45559,306.77898,261.7765,217.34438,174.08589,136.24598,120.77292,105.92657,91.71131,78.13089,65.18937,57.37503
1.A.3.d. Domestic navigation,WAM,ESR,17.51518,25.41118,25.40807,25.40184,25.39249,25.08702,25.08242,25.07481,25.06421,24.20101,22.81262,21.04992,18.91592,16.47644,13.86444,11.25705,8.83051,6.71557,4.97522,3.60973,2.57797,1.82041,1.27583,0.89031,0.62036,0.43278,0.30314,0.21387,0.15256,0.11053
1.A.3.d. Domestic navigation,WAM,Total,17.51518,25.41118,25.40807,25.40184,25.39249,25.08702,25.08242,25.07481,25.06421,24.20101,22.81262,21.04992,18.91592,16.47644,13.86444,11.25705,8.83051,6.71557,4.97522,3.60973,2.57797,1.82041,1.27583,0.89031,0.62036,0.43278,0.30314,0.21387,0.15256,0.11053
1.A.3.d. Domestic navigation,WEM,ESR,17.51518,25.41118,25.40807,25.40184,25.39249,25.08702,25.08242,25.07481,25.06421,24.20101,22.81262,21.04992,18.91592,16.47644,13.86444,11.25705,8.83051,6.71557,4.97522,3.60973,2.57797,1.82041,1.27583,0.89031,0.62036,0.43278,0.30314,0.21387,0.15256,0.11053
1.A.3.d. Domestic navigation,WEM,Total,17.51518,25.41118,25.40807,25.40184,25.39249,25.08702,25.08242,25.07481,25.06421,24.20101,22.81262,21.04992,18.91592,16.47644,13.86444,11.25705,8.83051,6.71557,4.97522,3.60973,2.57797,1.82041,1.27583,0.89031,0.62036,0.43278,0.30314,0.21387,0.15256,0.11053
1.A.3.e. Other transportation,WAM,ESR,3.11331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.3.e. Other transportation,WAM,Total,3.11331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.3.e. Other transportation,WEM,ESR,3.11331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.3.e. Other transportation,WEM,Total,3.11331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
