Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2025,Reported Value 2030,Reported Value 2035,Reported Value 2040,Reported Value 2045,Reported Value 2050
1.A.1. Energy industries,WEM,ETS,34498.1,30620.4,26742.7,22865.0,18987.3,17159.7,15332.1,13504.5,11676.9,9849.3,8675.54,7501.78,6328.02,5154.26,3980.5,3780.82,3581.14,3381.46,3181.78,2982.1,2765.2,2548.3,2331.4,2114.5,1897.6,1900.32,1903.04,1905.76,1908.48,1911.2,18987.262357959,9849.32459751214,3980.46446138648,2982.08455291772,1897.59168749223,1911.15106453691
1.A.1. Energy industries,WEM,Total,38418.42,35251.64,32084.86,28918.08,25751.3,24251.86,22752.42,21252.98,19753.54,18254.1,17103.58,15953.06,14802.54,13652.02,12501.5,12204.84,11908.18,11611.52,11314.86,11018.2,10565.84,10113.48,9661.12,9208.76,8756.4,7948.22,7140.04,6331.86,5523.68,4715.5,25751.2864636727,18254.0848724803,12501.4981536252,11018.2454006723,8756.41063784219,4715.53031521594
1.A.2. Manufacturing industries and construction,WAM,ESR,701.68,701.16,700.64,700.12,699.6,697.46,695.32,693.18,691.04,688.9,687.9,686.9,685.9,684.9,683.9,682.64,681.38,680.12,678.86,677.6,678.86,680.12,681.38,682.64,683.9,685.16,686.42,687.68,688.94,690.2,699.574054820831,688.940529187552,683.911263324484,677.619279701898,683.89136806601,690.163456430124
1.A.2. Manufacturing industries and construction,WAM,ETS,9532.14,9525.08,9518.02,9510.96,9503.9,9475.02,9446.14,9417.26,9388.38,9359.5,9345.84,9332.18,9318.52,9304.86,9291.2,9274.1,9257.0,9239.9,9222.8,9205.7,9197.22,9188.74,9180.26,9171.78,9163.3,9154.84,9146.38,9137.92,9129.46,9121.0,9503.94578777475,9359.48581180058,9291.16156537443,9205.68287897299,9163.33673772971,9120.99059648644
1.A.2. Manufacturing industries and construction,WAM,Total,10233.82,10226.24,10218.66,10211.08,10203.5,10172.48,10141.46,10110.44,10079.42,10048.4,10033.74,10019.08,10004.42,9989.76,9975.1,9956.74,9938.38,9920.02,9901.66,9883.3,9876.08,9868.86,9861.64,9854.42,9847.2,9840.0,9832.8,9825.6,9818.4,9811.2,10203.5198425956,10048.4263409881,9975.07282869892,9883.30215867489,9847.22810579572,9811.15405291656
1.A.2. Manufacturing industries and construction,WEM,ESR,701.68,701.16,700.64,700.12,699.6,697.46,695.32,693.18,691.04,688.9,687.9,686.9,685.9,684.9,683.9,682.64,681.38,680.12,678.86,677.6,678.86,680.12,681.38,682.64,683.9,685.16,686.42,687.68,688.94,690.2,699.574054820831,688.940529187552,683.911263324484,677.619279701898,683.89136806601,690.163456430124
1.A.2. Manufacturing industries and construction,WEM,ETS,9532.14,9525.08,9518.02,9510.96,9503.9,9475.02,9446.14,9417.26,9388.38,9359.5,9345.84,9332.18,9318.52,9304.86,9291.2,9274.1,9257.0,9239.9,9222.8,9205.7,9197.22,9188.74,9180.26,9171.78,9163.3,9154.84,9146.38,9137.92,9129.46,9121.0,9503.94578777475,9359.48581180058,9291.16156537443,9205.68287897299,9163.33673772971,9120.99059648644
1.A.2. Manufacturing industries and construction,WEM,Total,10233.82,10226.24,10218.66,10211.08,10203.5,10172.48,10141.46,10110.44,10079.42,10048.4,10033.74,10019.08,10004.42,9989.76,9975.1,9956.74,9938.38,9920.02,9901.66,9883.3,9876.08,9868.86,9861.64,9854.42,9847.2,9840.0,9832.8,9825.6,9818.4,9811.2,10203.5198425956,10048.4263409881,9975.07282869892,9883.30215867489,9847.22810579572,9811.15405291656
1.A.3. Transport,WAM,ESR,16990.9,16226.2,15461.5,14696.8,13932.1,13449.2,12966.3,12483.4,12000.5,11517.6,10906.26,10294.92,9683.58,9072.24,8460.9,8260.28,8059.66,7859.04,7658.42,7457.8,7319.52,7181.24,7042.96,6904.68,6766.4,6634.18,6501.96,6369.74,6237.52,6105.3,13932.104299,11517.550829,8460.912389,7457.797849,6766.359659,6105.272739
1.A.3. Transport,WAM,Total,17000.9,16235.9,15470.9,14705.9,13940.9,13457.74,12974.58,12491.42,12008.26,11525.1,10913.56,10302.02,9690.48,9078.94,8467.4,8266.62,8065.84,7865.06,7664.28,7463.5,7325.06,7186.62,7048.18,6909.74,6771.3,6638.96,6506.62,6374.28,6241.94,6109.6,13940.927169,11525.117889,8467.441119,7463.464029,6771.305639,6109.614179
