freq,indic_sb,nace_r2,ceparema,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
A,V21110,B,TOT_CEPA,UK	135.6 	: c	: c	: c	: c	: c	: c	: c	24.2 	235.2 	: c
A,V21110,B05,CEPA1,AT	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 b
A,V21110,B05,CEPA1,BE	0.0 	0.0 	: c	: c	: c	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 b
A,V21110,B05,CEPA1,BG	0.0 	0.0 	: c	: c	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 b
A,V21110,B05,CEPA1,CH	: 	0.0 	: 	: 	: 	: 	: 	: 	0.0 	: 	: 
A,V21110,B05,CEPA1,CY	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,V21110,B05,CEPA1,CZ	: c	: c	: c	: c	: c	: c	9.3 	: c	: c	: c	: c
A,V21110,B05,CEPA1,DE	: cd	0.0 	0.3 	0.3 	: c	: c	: c	: c	: c	0.7 	: bc
A,V21110,B05,CEPA1,DK	: 	: u	: u	: u	: u	: u	: u	0.0 	: u	: u	: bu
A,V21110,B05,CEPA1,EE	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 b
A,V21110,B05,CEPA1,EL	0.0 	0.0 	0.0 	: c	: c	: c	0.0 	0.0 b	0.0 	: c	0.0 b
A,V21110,B05,CEPA1,ES	0.1 d	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.1 	0.0 b
A,V21110,B05,CEPA1,FI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 b	0.0 	0.0 	0.0 	0.0 b	0.0 
A,V21110,B05,CEPA1,FR	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 b	0.0 
A,V21110,B05,CEPA1,HR	0.0 	: c	: c	: c	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,V21110,B05,CEPA1,HU	0.0 	: c	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	: c	0.0 
A,V21110,B05,CEPA1,IT	: c	: c	: c	: c	: c	: c	: c	0.0 	0.0 	0.0 b	0.0 
A,V21110,B05,CEPA1,LT	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 b
A,V21110,B05,CEPA1,MK	: 	: 	: 	: 	: 	: 	: 	0.0 p	: 	: 	0.0 p
A,V21110,B05,CEPA1,MT	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,V21110,B05,CEPA1,NL	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,V21110,B05,CEPA1,NO	0.0 	: c	0.0 d	0.0 d	0.0 d	0.0 d	0.0 d	0.0 d	0.0 d	0.0 d	0.0 bd
A,V21110,B05,CEPA1,PL	: c	: c	: c	: c	: cd	: cd	: cd	: cd	: cd	: cd	: bcd
A,V21110,B05,CEPA1,PT	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 b	0.0 	0.0 	0.0 	0.0 	0.0 
A,V21110,B05,CEPA1,RO	0.0 	: c	: c	: c	: c	0.0 	: c	0.0 	: c	: c	0.0 b
A,V21110,B05,CEPA1,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c
A,V21110,B05,CEPA1,SE	0.0 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 b
A,V21110,B05,CEPA1,SI	0.0 	: c	: c	0.0 	: c	: c	: c	: c	: c	: c	: c
A,V21110,B05,CEPA1,SK	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,V21110,B05,CEPA1,UK	: cd	: cd	: cd	: c	: c	: c	: c	: c	0.0 	0.0 	0.0 
A,V21110,B05,CEPA2,AT	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 b
A,V21110,B05,CEPA2,BE	0.0 	0.0 	: c	: c	: c	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 b
A,V21110,B05,CEPA2,BG	0.0 	0.0 	: c	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 b
A,V21110,B05,CEPA2,CH	: 	0.0 	: 	: 	: 	: 	: 	: 	0.0 	: 	: 
A,V21110,B05,CEPA2,CY	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,V21110,B05,CEPA2,CZ	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,V21110,B05,CEPA2,DE	: cd	7.7 	34.9 	12.6 	: c	: c	: c	: c	34.3 	15.7 	4.8 b
A,V21110,B05,CEPA2,DK	: 	: u	: u	: u	: u	: u	: u	0.0 	: u	: u	: bu
A,V21110,B05,CEPA2,EE	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 b
A,V21110,B05,CEPA2,EL	0.0 	0.0 	0.0 	: c	: c	: c	0.0 	0.0 b	0.0 	: c	0.0 b
A,V21110,B05,CEPA2,ES	0.1 d	0.1 	0.1 	0.6 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.1 bd
A,V21110,B05,CEPA2,FI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 b	0.0 	0.0 	0.0 	0.0 b	0.0 
A,V21110,B05,CEPA2,FR	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 b	0.0 
A,V21110,B05,CEPA2,HR	0.0 	: c	: c	: c	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
