freq,siec,plant_tec,operator,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,IE	3225.000 	3225.000 	3337.000 	3323.000 	3296.000 	3444.000 	3573.000 	3618.000 	3768.000 	3658.000 	3936.000 	3936.000 	4629.000 	4813.000 	4799.500 	4937.500 	5322.924 	5720.522 	5490.453 	5447.322 	6206.432 	6209.632 	6071.200 	6098.200 	6105.000 	6354.200 	6351.200 	6395.200 	6396.000 	6053.000 	5949.000 	5768.000 	5629.000 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,IT	31595.000 	32534.000 	35743.000 	36620.000 	37092.000 	38573.000 	39865.000 	40888.000 	41660.000 	41917.000 	54034.000 	54310.000 	54433.000 	55861.000 	54226.000 	57409.000 	60962.000 	64325.000 	67154.000 	67231.000 	68797.000 	70501.000 	72852.000 	70664.000 	67419.000 	60575.000 	57438.000 	56426.202 	55929.097 	56027.873 	55114.859 	54136.525 	51176.626 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,LT	2426.000 	2426.000 	2426.000 	2426.000 	2426.000 	2422.000 	2422.000 	2422.000 	2422.000 	2422.000 	2422.000 	2425.000 	2425.000 	2428.000 	2431.000 	2433.000 	2435.000 	2292.000 	2330.000 	2337.000 	2338.000 	2339.000 	2807.000 	2830.000 	2530.000 	1931.000 	1931.000 	1577.000 	1582.000 	1582.000 	1628.000 	1625.000 	1625.000 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,LU	6.000 	6.000 	6.000 	6.000 	6.000 	6.000 	10.000 	10.000 	8.000 	8.000 	46.862 	63.083 	439.083 	439.083 	439.442 	440.068 	439.172 	438.962 	440.025 	440.650 	443.419 	462.816 	462.816 	466.871 	464.921 	451.686 	61.301 	72.201 	75.658 	95.420 	94.630 	89.976 	86.917 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,LV	520.000 	520.000 	520.000 	520.000 	520.000 	520.000 	520.000 	520.000 	540.000 	545.000 	546.000 	552.000 	562.000 	566.000 	568.000 	576.000 	563.000 	558.000 	575.000 	921.000 	935.000 	944.000 	984.000 	1205.000 	1224.000 	1234.000 	1251.000 	1267.972 	1239.323 	1240.706 	1242.552 	1239.282 	1206.522 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	225.000 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	571.000 	571.000 	571.000 	571.000 	571.000 	571.000 	620.000 	620.000 	620.000 	590.000 	475.000 	590.000 	590.000 	590.000 	590.000 	590.000 	498.000 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,NL	14719.000 	14443.000 	14348.000 	14302.000 	15133.000 	15695.000 	17461.000 	17124.000 	16562.000 	16974.000 	17316.000 	16963.000 	17204.000 	16916.000 	17194.000 	17239.000 	17293.000 	17143.000 	17476.000 	18336.000 	18993.000 	19609.000 	21203.000 	21390.000 	22092.000 	20620.823 	20444.823 	18859.513 	18857.663 	18166.893 	17770.034 	17771.767 	17755.967 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	529.000 	982.000 	1013.000 	1058.000 	1047.000 	1010.000 	1010.000 	520.000 	535.000 	521.000 	522.000 	402.000 	439.000 	289.000 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,PL	23632.000 	24048.000 	24246.000 	24723.000 	25344.000 	25183.000 	25523.000 	25810.000 	26001.000 	26573.000 	26485.000 	26490.000 	26684.000 	27265.000 	27501.000 	27762.000 	27821.000 	27921.000 	28194.000 	28329.000 	28115.000 	28678.000 	28600.000 	28226.000 	27942.000 	27934.000 	27895.000 	31928.875 	31219.964 	30526.200 	33638.226 	32937.214 	29780.418 
