freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,FC_E,C0350-0370,KTOE,NO	66.566 	67.952 	69.265 	70.173 	60.906 	51.209 	61.431 	66.519 	53.445 	51.941 	57.915 	66.741 
A,FC_E,C0350-0370,KTOE,PL	560.903 	548.175 	542.383 	595.765 	486.914 	462.377 	499.879 	469.239 	451.465 	392.970 	438.969 	377.550 
A,FC_E,C0350-0370,KTOE,PT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_E,C0350-0370,KTOE,RO	141.707 	188.760 	195.686 	173.641 	168.983 	158.976 	150.237 	148.013 	148.202 	145.021 	150.476 	123.713 
A,FC_E,C0350-0370,KTOE,RS	91.597 	29.426 	33.009 	46.647 	5.422 	8.790 	10.056 	19.082 	19.089 	13.688 	15.404 	: 
A,FC_E,C0350-0370,KTOE,SE	147.060 	176.455 	177.259 	172.480 	174.073 	182.282 	175.891 	165.570 	179.309 	170.722 	164.273 	170.608 
A,FC_E,C0350-0370,KTOE,SI	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_E,C0350-0370,KTOE,SK	403.511 	379.603 	380.431 	413.879 	401.213 	427.988 	433.976 	441.218 	345.108 	290.733 	399.947 	436.130 
A,FC_E,C0350-0370,KTOE,TR	303.740 	431.609 	397.206 	441.540 	511.266 	461.711 	311.873 	360.600 	289.470 	423.768 	576.021 	: 
A,FC_E,C0350-0370,KTOE,UA	3392.027 	3178.074 	2948.667 	2670.307 	2172.838 	2280.926 	1757.524 	1797.564 	1780.131 	1711.517 	: 	: 
A,FC_E,C0350-0370,KTOE,UK	133.066 	80.049 	81.439 	76.015 	105.940 	82.882 	79.149 	66.332 	102.510 	: 	: 	: 
A,FC_E,C0350-0370,KTOE,XK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_E,E7000,KTOE,AL	486.414 	495.271 	592.777 	560.877 	507.051 	472.829 	512.164 	523.207 	531.636 	543.101 	573.146 	: 
A,FC_E,E7000,KTOE,AT	5149.953 	5230.039 	5258.030 	5176.188 	5258.302 	5342.923 	5424.138 	5455.284 	5461.080 	5290.758 	5541.979 	5491.490 
A,FC_E,E7000,KTOE,BA	: 	: 	: 	910.318 	917.885 	953.396 	980.052 	985.039 	945.228 	854.342 	931.212 	: 
A,FC_E,E7000,KTOE,BE	7164.205 	7143.216 	7137.094 	6969.329 	7007.825 	7059.286 	7060.318 	7115.890 	7025.331 	6782.717 	6995.890 	6582.726 
A,FC_E,E7000,KTOE,BG	2443.766 	2394.239 	2367.326 	2379.536 	2435.598 	2484.781 	2571.679 	2572.923 	2598.038 	2460.017 	2662.920 	2641.375 
A,FC_E,E7000,KTOE,CY	405.969 	379.143 	337.182 	340.966 	351.800 	378.283 	390.525 	401.088 	406.151 	376.341 	399.790 	417.572 
A,FC_E,E7000,KTOE,CZ	4613.156 	4633.190 	4575.838 	4575.752 	4684.179 	4802.408 	4936.132 	4995.930 	5022.911 	4909.718 	5157.574 	5041.450 
A,FC_E,E7000,KTOE,DE	45131.298 	45100.946 	44910.576 	44003.181 	44277.558 	44501.634 	44621.926 	43800.000 	42692.605 	41464.058 	42969.690 	41078.710 
A,FC_E,E7000,KTOE,DK	2722.184 	2681.083 	2674.635 	2646.174 	2649.097 	2673.624 	2671.837 	2639.039 	2644.018 	2600.174 	2760.700 	2631.492 
A,FC_E,E7000,KTOE,EE	569.819 	600.000 	586.414 	593.809 	589.166 	627.601 	621.882 	644.110 	629.144 	617.374 	677.866 	614.081 
A,FC_E,E7000,KTOE,EL	4453.482 	4472.657 	4195.271 	4256.234 	4366.896 	4588.392 	4640.535 	4253.667 	4316.191 	4086.790 	4234.088 	4138.275 
A,FC_E,E7000,KTOE,ES	20938.005 	20657.610 	19783.921 	19509.630 	19951.677 	19992.691 	20558.985 	20504.299 	20165.864 	18886.930 	19594.153 	19292.003 
A,FC_E,E7000,KTOE,EU27_2020	212850.733 	213589.912 	211631.654 	207155.294 	210654.685 	213338.448 	215446.893 	215460.459 	213121.483 	204967.030 	214187.418 	207293.457 
A,FC_E,E7000,KTOE,FI	6888.564 	6941.101 	6875.408 	6805.761 	6749.527 	6960.705 	6968.100 	7116.853 	6991.402 	6612.038 	7058.813 	6609.372 
A,FC_E,E7000,KTOE,FR	36499.759 	38159.699 	38772.003 	36578.005 	37405.988 	38069.076 	37778.625 	37584.029 	37119.931 	35370.543 	37237.463 	35657.811 
A,FC_E,E7000,KTOE,GE	: 	: 	780.224 	841.445 	851.763 	901.720 	963.758 	1026.423 	1036.913 	987.042 	1127.997 	: 
A,FC_E,E7000,KTOE,HR	1352.966 	1319.862 	1295.959 	1275.408 	1319.261 	1315.563 	1373.921 	1390.817 	1389.114 	1308.289 	1418.349 	1396.793 
A,FC_E,E7000,KTOE,HU	2969.905 	3009.802 	2998.538 	2986.844 	3120.464 	3194.497 	3309.802 	3389.338 	3458.469 	3443.336 	3586.930 	3555.116 
A,FC_E,E7000,KTOE,IE	2138.847 	2135.028 	2137.715 	2133.661 	2217.433 	2268.034 	2290.413 	2397.284 	2444.643 	2463.743 	2581.021 	2645.566 
A,FC_E,E7000,KTOE,IS	1376.612 	1406.449 	1446.518 	1447.120 	1502.150 	1487.790 	1538.412 	1589.626 	1567.223 	1536.439 	1577.417 	: 
A,FC_E,E7000,KTOE,IT	25952.537 	25515.219 	24711.780 	24204.471 	24719.089 	24593.895 	25104.499 	25200.436 	25101.693 	23662.955 	25124.609 	24676.510 
A,FC_E,E7000,KTOE,LT	737.747 	767.068 	769.991 	794.239 	803.267 	838.349 	864.936 	894.093 	906.371 	890.396 	959.089 	916.836 
A,FC_E,E7000,KTOE,LU	557.549 	536.196 	532.978 	531.557 	535.144 	547.419 	549.723 	555.349 	550.039 	526.183 	549.687 	528.216 
A,FC_E,E7000,KTOE,LV	532.330 	588.822 	565.434 	565.950 	555.546 	557.352 	557.579 	572.841 	570.637 	560.942 	579.448 	555.659 
A,FC_E,E7000,KTOE,MD	290.800 	298.366 	313.414 	313.758 	316.939 	311.436 	318.487 	330.267 	327.859 	327.343 	354.944 	: 
A,FC_E,E7000,KTOE,ME	293.551 	276.870 	232.674 	224.420 	230.353 	229.665 	245.486 	244.764 	262.614 	243.173 	256.036 	: 
A,FC_E,E7000,KTOE,MK	634.394 	602.322 	584.781 	578.590 	570.507 	532.518 	524.662 	524.975 	536.601 	535.259 	561.677 	: 
A,FC_E,E7000,KTOE,MT	160.447 	167.326 	167.670 	172.399 	181.771 	182.049 	199.230 	205.302 	212.729 	203.168 	215.123 	231.603 
A,FC_E,E7000,KTOE,NL	9266.181 	8960.933 	8989.842 	8734.147 	8914.596 	8998.144 	9098.714 	9274.609 	9255.387 	9144.532 	9179.345 	8923.972 
A,FC_E,E7000,KTOE,NO	9283.713 	9511.529 	9581.585 	9374.491 	9590.014 	9848.200 	9892.763 	10065.882 	9992.030 	9990.527 	10509.517 	9892.999 
A,FC_E,E7000,KTOE,PL	10446.432 	10504.643 	10623.990 	10777.857 	10990.423 	11422.055 	11675.658 	12078.139 	12073.221 	11807.526 	12354.854 	12164.327 
A,FC_E,E7000,KTOE,PT	4158.555 	3976.010 	3891.402 	3886.071 	3939.123 	3989.128 	4010.432 	4123.725 	4116.905 	3977.126 	4068.856 	4184.343 
A,FC_E,E7000,KTOE,RO	3672.743 	3644.540 	3493.379 	3603.181 	3699.914 	3719.433 	3843.413 	3918.013 	3918.595 	3785.421 	3959.437 	3674.145 
A,FC_E,E7000,KTOE,RS	2425.021 	2350.817 	2328.031 	2254.944 	2337.833 	2373.345 	2418.236 	2411.750 	2407.064 	2397.302 	2510.720 	: 
A,FC_E,E7000,KTOE,SE	10716.079 	10944.626 	10749.441 	10506.535 	10735.942 	10962.683 	10941.874 	10968.358 	10708.684 	10574.807 	10965.692 	10556.234 
A,FC_E,E7000,KTOE,SI	1074.807 	1068.702 	1073.001 	1071.281 	1099.570 	1119.948 	1163.358 	1179.034 	1176.208 	1113.599 	1157.233 	1121.314 
A,FC_E,E7000,KTOE,SK	2133.448 	2058.212 	2156.836 	2077.128 	2095.529 	2148.495 	2218.659 	2230.009 	2166.122 	2047.549 	2196.819 	1966.466 
A,FC_E,E7000,KTOE,TR	15820.550 	16586.071 	16867.412 	17664.832 	18443.766 	19619.089 	21143.117 	21920.415 	21771.914 	22246.320 	24298.134 	: 
A,FC_E,E7000,KTOE,UA	12020.636 	11837.317 	11825.537 	11039.295 	10231.212 	10098.022 	10091.625 	10202.356 	10033.440 	9760.138 	: 	: 
A,FC_E,E7000,KTOE,UK	27342.046 	27377.042 	27201.892 	26047.979 	26103.690 	26151.390 	25767.914 	25843.455 	25397.627 	: 	: 	: 
A,FC_E,E7000,KTOE,XK	394.411 	384.523 	399.398 	401.892 	397.420 	332.846 	373.042 	378.170 	405.293 	420.799 	498.885 	: 
A,FC_E,G3000,KTOE,AL	1.548 	3.332 	5.589 	6.836 	11.156 	10.035 	12.500 	7.380 	6.480 	6.479 	6.479 	: 
