freq,nrg_bal,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,FEC2020-2030,MTOE,DE	229.54 	227.77 	221.17 	222.31 	218.28 	221.60 	231.11 	227.10 	225.88 	221.87 	220.15 	223.81 	220.21 	224.46 	222.87 	219.69 	225.35 	212.95 	221.71 	208.25 	223.02 	211.71 	215.78 	221.01 	209.98 	212.75 	216.87 	218.62 	215.17 	214.70 	202.27 	208.09 	203.05 
A,FEC2020-2030,MTOE,DK	13.46 	14.22 	14.03 	14.50 	14.52 	14.82 	15.43 	15.08 	15.05 	15.01 	14.72 	15.13 	14.80 	15.13 	15.37 	15.50 	15.67 	15.72 	15.53 	14.80 	15.52 	14.80 	14.29 	14.12 	13.66 	14.15 	14.50 	14.58 	14.57 	14.31 	13.09 	13.88 	13.35 
A,FEC2020-2030,MTOE,EE	5.33 	5.24 	3.44 	2.94 	2.89 	2.64 	2.90 	2.86 	2.64 	2.44 	2.43 	2.66 	2.62 	2.73 	2.80 	2.86 	2.88 	3.08 	3.06 	2.76 	2.91 	2.83 	2.89 	2.89 	2.82 	2.80 	2.84 	2.87 	2.96 	2.89 	2.75 	2.83 	2.79 
A,FEC2020-2030,MTOE,EL	14.70 	15.01 	15.10 	15.14 	15.45 	15.83 	16.94 	17.45 	18.35 	18.29 	18.75 	19.36 	19.71 	20.76 	20.53 	21.02 	21.63 	22.10 	21.44 	20.58 	19.06 	18.92 	17.06 	15.34 	15.58 	16.56 	16.75 	16.41 	15.91 	16.17 	14.44 	15.17 	16.12 
A,FEC2020-2030,MTOE,ES	57.29 	59.77 	60.71 	60.04 	62.86 	64.18 	65.75 	68.66 	72.33 	74.95 	80.04 	84.04 	85.37 	90.74 	95.07 	98.12 	95.82 	98.47 	95.00 	88.14 	89.58 	87.06 	83.54 	81.07 	79.56 	80.49 	82.21 	84.75 	86.72 	86.48 	73.76 	80.33 	81.23 
A,FEC2020-2030,MTOE,EU27_2020	952.34 	952.62 	926.57 	927.64 	921.75 	940.41 	980.68 	971.93 	977.43 	974.97 	979.85 	1002.86 	996.22 	1026.17 	1036.30 	1041.27 	1045.86 	1028.52 	1036.72 	980.84 	1025.23 	985.23 	983.21 	981.04 	939.17 	958.55 	977.61 	989.76 	992.50 	986.48 	906.31 	967.41 	940.47 
A,FEC2020-2030,MTOE,FI	21.67 	21.19 	21.13 	21.19 	22.38 	21.99 	22.63 	23.34 	24.21 	24.35 	24.36 	24.86 	25.48 	25.88 	26.14 	25.22 	26.51 	26.55 	25.64 	23.83 	26.23 	25.00 	25.16 	24.68 	24.53 	24.21 	25.19 	25.32 	25.78 	25.47 	23.38 	24.93 	23.34 
A,FEC2020-2030,MTOE,FR	136.26 	144.91 	145.60 	144.16 	141.85 	143.64 	150.26 	148.01 	152.02 	153.20 	154.80 	159.88 	156.94 	158.90 	160.87 	160.15 	157.76 	153.84 	155.83 	149.54 	153.97 	148.81 	153.17 	155.94 	145.03 	148.18 	150.05 	149.13 	146.96 	145.58 	129.74 	143.23 	138.25 
A,FEC2020-2030,MTOE,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.59 	3.88 	3.99 	4.24 	4.31 	4.26 	4.37 	4.25 	4.74 	: 
A,FEC2020-2030,MTOE,HR	6.50 	5.65 	4.88 	5.05 	5.12 	5.29 	5.79 	5.92 	6.01 	6.18 	5.99 	6.30 	6.38 	6.82 	6.99 	7.25 	7.26 	7.29 	7.41 	7.18 	7.21 	6.97 	6.65 	6.57 	6.24 	6.59 	6.64 	6.93 	6.85 	6.91 	6.47 	6.97 	6.89 
A,FEC2020-2030,MTOE,HU	19.54 	18.48 	16.19 	16.17 	16.13 	16.14 	16.71 	16.01 	16.09 	16.35 	16.15 	16.94 	17.00 	17.70 	17.58 	18.74 	18.46 	17.44 	17.44 	17.07 	17.45 	17.49 	16.47 	16.58 	16.22 	17.40 	17.74 	18.50 	18.53 	18.60 	18.01 	19.09 	18.31 
A,FEC2020-2030,MTOE,IE	7.34 	7.45 	7.35 	7.60 	7.86 	7.98 	8.31 	8.63 	9.34 	9.94 	10.79 	11.25 	11.29 	11.62 	11.91 	12.61 	13.14 	13.20 	13.21 	11.79 	11.91 	11.04 	10.74 	10.87 	10.91 	11.32 	11.76 	11.85 	12.39 	12.38 	11.18 	11.42 	11.96 
A,FEC2020-2030,MTOE,IS	1.41 	1.38 	1.42 	1.45 	1.50 	1.49 	1.58 	1.60 	1.68 	1.76 	1.87 	1.87 	1.93 	1.93 	2.00 	2.01 	2.18 	2.37 	2.68 	2.68 	2.64 	2.66 	2.75 	2.87 	2.93 	3.07 	3.11 	3.23 	3.51 	3.25 	2.96 	3.12 	: 
A,FEC2020-2030,MTOE,IT	107.83 	110.83 	110.96 	111.54 	109.86 	114.68 	115.76 	116.74 	120.22 	124.60 	124.82 	126.14 	126.45 	133.33 	133.80 	137.22 	135.66 	134.62 	134.28 	126.17 	128.51 	123.18 	121.82 	118.55 	113.31 	116.22 	115.92 	115.19 	116.33 	115.36 	102.74 	114.40 	112.04 
A,FEC2020-2030,MTOE,LT	9.67 	10.16 	6.37 	4.90 	4.73 	4.59 	4.48 	4.52 	4.47 	4.05 	3.77 	3.92 	4.09 	4.21 	4.40 	4.67 	4.93 	5.21 	5.13 	4.64 	4.81 	4.78 	4.90 	4.78 	4.88 	4.86 	5.10 	5.34 	5.57 	5.56 	5.31 	5.66 	5.39 
A,FEC2020-2030,MTOE,LU	3.29 	3.50 	3.52 	3.58 	3.51 	3.12 	3.20 	3.19 	3.14 	3.31 	3.51 	3.67 	3.71 	3.95 	4.39 	4.48 	4.41 	4.34 	4.38 	4.08 	4.33 	4.29 	4.17 	4.13 	4.00 	3.99 	4.04 	4.18 	4.35 	4.39 	3.81 	4.06 	3.67 
A,FEC2020-2030,MTOE,LV	6.42 	6.26 	5.16 	4.48 	4.06 	3.85 	3.79 	3.72 	3.60 	3.39 	3.25 	3.57 	3.62 	3.80 	3.91 	4.02 	4.19 	4.35 	4.15 	4.04 	4.12 	3.87 	4.03 	3.86 	3.89 	3.79 	3.82 	4.01 	4.18 	4.08 	3.86 	4.06 	3.96 
A,FEC2020-2030,MTOE,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.29 	2.36 	2.29 	2.32 	2.32 	2.38 	2.49 	2.64 	2.74 	2.63 	2.50 	2.80 	: 
A,FEC2020-2030,MTOE,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.76 	0.79 	0.86 	0.87 	0.73 	0.72 	0.73 	0.71 	0.65 	0.65 	0.68 	0.71 	0.75 	0.75 	0.79 	0.70 	0.81 	: 
A,FEC2020-2030,MTOE,MK	1.44 	1.36 	1.58 	1.69 	1.51 	1.47 	1.83 	1.67 	1.62 	1.63 	1.59 	1.41 	1.47 	1.64 	1.61 	1.75 	1.76 	1.86 	1.80 	1.68 	1.80 	1.91 	1.85 	1.83 	1.81 	1.85 	1.86 	1.88 	1.86 	1.97 	1.83 	1.98 	: 
A,FEC2020-2030,MTOE,MT	0.34 	0.39 	0.40 	0.43 	0.42 	0.46 	0.39 	0.57 	0.43 	0.45 	0.45 	0.40 	0.37 	0.40 	0.45 	0.46 	0.47 	0.48 	0.50 	0.45 	0.50 	0.49 	0.51 	0.53 	0.55 	0.58 	0.58 	0.62 	0.66 	0.70 	0.55 	0.59 	0.70 
A,FEC2020-2030,MTOE,NL	46.14 	48.61 	48.20 	49.89 	49.31 	51.07 	55.29 	52.47 	52.54 	52.64 	52.43 	53.29 	53.34 	54.14 	54.91 	54.41 	54.08 	53.36 	54.19 	51.99 	55.63 	51.98 	52.09 	51.92 	47.52 	48.55 	49.64 	50.03 	50.39 	49.48 	45.14 	46.78 	43.44 
A,FEC2020-2030,MTOE,NO	16.12 	15.91 	15.81 	16.20 	16.71 	16.98 	17.46 	17.43 	18.22 	18.62 	18.11 	18.36 	18.11 	18.03 	18.51 	18.61 	18.57 	18.88 	18.94 	18.27 	19.86 	19.19 	19.41 	19.38 	18.95 	19.19 	19.49 	19.68 	19.81 	19.67 	18.91 	19.66 	: 
