freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,FC_OTH_HH_E,TOTAL,KTOE,ES	15633.895 	15530.469 	14888.925 	14787.310 	15269.842 	14331.695 	14392.022 	15178.832 	14445.322 	14555.763 	14742.625 	14279.433 
A,FC_OTH_HH_E,TOTAL,KTOE,EU27_2020	252688.735 	263811.403 	266975.660 	235169.631 	245947.335 	251870.791 	252719.439 	250749.370 	248657.991 	248742.692 	260167.082 	242430.229 
A,FC_OTH_HH_E,TOTAL,KTOE,FI	5091.152 	5455.635 	5172.734 	5126.200 	4950.975 	5342.235 	5761.435 	5691.110 	5631.035 	5284.813 	5962.385 	5642.879 
A,FC_OTH_HH_E,TOTAL,KTOE,FR	39799.275 	43767.865 	46061.145 	37943.063 	40237.889 	42183.498 	41493.099 	40282.070 	40115.770 	39160.043 	42230.566 	37227.572 
A,FC_OTH_HH_E,TOTAL,KTOE,GE	: 	: 	1159.320 	1194.979 	1201.348 	1266.269 	1336.297 	1227.303 	1300.650 	1408.174 	1507.717 	: 
A,FC_OTH_HH_E,TOTAL,KTOE,HR	2643.500 	2561.304 	2493.453 	2228.532 	2429.916 	2409.158 	2392.720 	2298.895 	2238.586 	2277.143 	2441.870 	2286.359 
A,FC_OTH_HH_E,TOTAL,KTOE,HU	6569.577 	6375.847 	6209.747 	5487.452 	5969.813 	6156.505 	6294.138 	5818.115 	5676.869 	5980.487 	6374.400 	5818.606 
A,FC_OTH_HH_E,TOTAL,KTOE,IE	3192.938 	3037.789 	2959.241 	2675.522 	2844.291 	2944.351 	2858.458 	3045.873 	2970.883 	3229.896 	3104.873 	2737.238 
A,FC_OTH_HH_E,TOTAL,KTOE,IS	370.818 	400.502 	399.164 	384.692 	392.234 	423.296 	422.526 	505.489 	454.055 	482.238 	500.798 	: 
A,FC_OTH_HH_E,TOTAL,KTOE,IT	32378.063 	34348.336 	34230.620 	29545.980 	32494.483 	32185.101 	32898.639 	31905.559 	31138.335 	30655.992 	31428.045 	29976.685 
