freq,siec,plant_tec,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,R5100,CAP_NET_ELC,MW,RS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	2.400 	2.400 	2.400 	2.400 
A,R5100,CAP_NET_ELC,MW,SE	1200.000 	1200.000 	1200.000 	1200.000 	1200.000 	1200.000 	1437.000 	1331.000 	1331.000 	1490.000 	1490.000 	1778.000 	1670.000 	1670.000 	1670.000 	2526.000 	3202.000 	2570.000 	2761.000 	3142.000 	3178.000 	3397.000 	3522.000 	3120.000 	3729.000 	3700.000 	3769.000 	3706.000 	3918.000 	3834.000 	2942.000 	3093.000 	3274.000 
A,R5100,CAP_NET_ELC,MW,SI	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	15.000 	15.000 	15.000 	15.000 	13.000 	13.000 	13.000 	14.000 	14.000 	48.000 	38.000 	33.000 	33.000 	30.000 	30.000 	30.000 	30.000 	30.000 	33.000 	32.000 	34.000 	35.000 	36.000 	36.000 
A,R5100,CAP_NET_ELC,MW,SK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	5.000 	44.000 	44.000 	44.000 	44.000 	108.000 	134.000 	147.000 	160.000 	169.000 	171.000 	169.000 	176.000 	153.000 	145.000 	150.000 	149.000 	148.000 	138.000 	137.000 	163.000 	180.000 
A,R5100,CAP_NET_ELC,MW,TR	0.000 	11.000 	11.000 	14.000 	13.000 	14.000 	14.000 	14.000 	21.000 	72.000 	72.000 	72.000 	72.000 	72.000 	72.000 	72.000 	72.000 	72.000 	69.000 	47.000 	47.000 	10.000 	10.000 	10.000 	10.000 	12.000 	55.000 	83.000 	128.950 	214.220 	331.633 	490.958 	616.168 
A,R5100,CAP_NET_ELC,MW,UA	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	65.000 	96.000 	59.000 	74.000 	99.900 	: 	: 
A,R5100,CAP_NET_ELC,MW,UK	0.000 	0.000 	13.000 	46.000 	46.000 	46.000 	46.000 	46.000 	84.000 	84.000 	133.000 	133.000 	155.000 	254.000 	301.000 	474.000 	508.000 	526.000 	486.000 	587.000 	709.000 	1627.000 	1485.000 	2104.000 	2383.000 	2714.585 	2962.867 	3149.508 	4592.592 	4672.586 	: 	: 	: 
A,R5100,CAP_NET_ELC,MW,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5210P,CAP_NET_ELC,MW,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5210P,CAP_NET_ELC,MW,AT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
