freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,FC_IND_E,G3000,KTOE,LV	173.495 	181.513 	142.691 	119.862 	120.593 	107.609 	107.551 	113.772 	97.464 	96.711 	109.428 	76.308 
A,FC_IND_E,G3000,KTOE,MD	59.458 	57.760 	52.558 	48.904 	53.891 	53.955 	54.001 	68.767 	58.297 	62.575 	67.906 	: 
A,FC_IND_E,G3000,KTOE,ME	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_IND_E,G3000,KTOE,MK	41.423 	20.314 	24.205 	28.633 	25.881 	32.159 	37.360 	36.504 	35.413 	35.713 	39.995 	: 
A,FC_IND_E,G3000,KTOE,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_IND_E,G3000,KTOE,NL	4859.971 	4767.571 	4833.582 	4600.405 	4834.854 	5029.615 	5160.411 	5063.638 	5040.019 	4958.272 	5097.386 	4392.310 
A,FC_IND_E,G3000,KTOE,NO	232.937 	275.434 	272.902 	261.923 	258.134 	262.090 	290.669 	284.367 	303.420 	259.644 	294.802 	262.479 
A,FC_IND_E,G3000,KTOE,PL	3173.044 	3152.021 	3232.395 	3198.173 	3229.794 	3410.856 	3684.567 	3909.474 	3910.441 	3857.240 	4239.933 	3657.954 
A,FC_IND_E,G3000,KTOE,PT	1150.365 	1121.604 	1083.491 	1056.793 	1098.130 	1120.179 	1214.113 	1247.129 	1258.111 	1167.215 	1314.106 	1158.222 
A,FC_IND_E,G3000,KTOE,RO	2948.323 	2585.361 	2386.328 	2453.590 	2237.296 	2084.415 	2228.562 	2281.556 	2172.540 	2227.647 	2439.859 	1789.339 
A,FC_IND_E,G3000,KTOE,RS	591.230 	605.525 	710.641 	388.681 	435.063 	437.952 	541.962 	615.179 	495.416 	374.779 	473.949 	: 
