freq,siec,plant_tec,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,R5220P,CAP_PRD,THS_TY,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	7.040 	14.080 	14.080 	14.080 	14.080 	14.080 	14.080 	14.080 	14.080 	5.000 	5.000 	5.000 	5.000 	0.000 	0.000 	0.000 
A,R5220P,CAP_PRD,THS_TY,CZ	0.000 	0.000 	3.500 	6.550 	33.500 	58.000 	62.500 	62.500 	62.500 	67.500 	111.550 	111.550 	114.430 	198.075 	202.000 	194.500 	194.500 	346.000 	333.000 	420.000 	420.000 	420.000 	420.000 	420.000 	420.000 	420.000 	420.000 	420.000 	420.000 	420.000 	420.000 	420.000 	420.000 
A,R5220P,CAP_PRD,THS_TY,DE	0.000 	2.000 	5.000 	7.000 	38.000 	47.000 	75.000 	122.000 	136.000 	176.000 	339.000 	491.000 	576.000 	995.000 	1084.000 	1772.000 	2676.000 	4098.000 	4039.000 	4050.000 	4694.000 	4494.000 	4296.000 	4308.000 	4161.000 	4212.000 	4125.000 	4153.000 	4279.000 	4171.000 	3793.000 	4120.000 	4151.000 
A,R5220P,CAP_PRD,THS_TY,DK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5220P,CAP_PRD,THS_TY,EA20	28.000 	30.000 	33.000 	35.000 	66.000 	75.000 	103.000 	150.000 	164.000 	204.000 	367.000 	581.649 	696.000 	1548.750 	1828.000 	2970.562 	4619.546 	10067.325 	13926.677 	17618.892 	19128.659 	19586.306 	18812.165 	19523.892 	19503.299 	19487.119 	18612.246 	18856.051 	19030.651 	19003.651 	18764.050 	19365.650 	18178.802 
A,R5220P,CAP_PRD,THS_TY,EE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5220P,CAP_PRD,THS_TY,EL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	395.000 	575.000 	575.000 	575.000 	900.000 	746.808 	746.808 	980.535 	973.104 	993.924 	993.924 	1045.449 	1045.449 	1045.449 	1135.448 	1135.448 	0.000 
A,R5220P,CAP_PRD,THS_TY,ES	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	30.000 	120.000 	179.000 	255.000 	403.000 	946.000 	1681.000 	4272.000 	4286.000 	4341.000 	3762.000 	4243.000 	4237.000 	4237.000 	4237.000 	4237.000 	4237.000 	4237.000 	4237.000 	4237.000 	4237.000 
A,R5220P,CAP_PRD,THS_TY,EU27_2020	28.000 	30.000 	36.500 	41.550 	99.500 	133.000 	165.500 	212.500 	226.500 	271.500 	478.550 	693.199 	810.430 	1746.825 	2030.000 	3173.357 	4837.372 	10873.510 	15343.478 	19103.177 	20815.970 	21161.491 	20860.707 	21448.234 	21581.189 	21884.531 	20717.596 	21128.969 	21809.254 	21812.254 	21870.931 	22845.013 	21698.020 
A,R5220P,CAP_PRD,THS_TY,FI	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	190.000 	380.000 	380.000 	380.000 	380.000 	380.000 	380.000 	380.000 	480.000 	480.000 	490.000 	500.000 	500.000 	500.000 	600.000 	600.000 
A,R5220P,CAP_PRD,THS_TY,FR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	375.000 	395.000 	612.862 	623.046 	1028.255 	2094.955 	2254.955 	2759.955 	2759.955 	2759.955 	2759.955 	2759.955 	2759.955 	2305.000 	2305.000 	2305.000 	2305.000 	2305.000 	2305.000 	2305.000 
A,R5220P,CAP_PRD,THS_TY,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.300 	0.300 	0.300 	0.300 
A,R5220P,CAP_PRD,THS_TY,HR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	29.000 	61.000 	61.000 	64.000 	64.000 	69.000 	69.000 	63.838 	63.838 	41.000 	41.000 	41.000 	41.000 	41.000 	41.000 	41.000 
