freq,nace_r2,indic_pefa,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,A,EPRD_ICNS,TJ,PT	35658.3 	25292.3 	24130.4 	23930.5 	30542.5 	30309 	25577 	25525.7 	24628.6 	24821 	26761.8 	25074 	24820.3 	25784.1 	26278.1 	26012.7 	25811.2 	26997 	26428.5 	26995.7 	28377.5 	30278.1 	: 
A,A,EPRD_ICNS,TJ,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	27486.5 	24795.2 	27076.8 	30365.5 	31126.6 	31787.5 	30933.5 	33414.1 	: 
A,A,EPRD_ICNS,TJ,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21150.4 	19656.8 	19446.9 	18197.5 	17519.9 	18966.7 	: 
A,A,EPRD_ICNS,TJ,SE	: 	: 	: 	: 	: 	: 	: 	: 	44222 	41404.8 	43664.7 	44232.7 	43407.6 	43164.1 	43958.2 	44449.4 	44652.1 	44996.7 	42869.3 	42971.3 	41800.4 	42580.1 	: 
A,A,EPRD_ICNS,TJ,SI	: 	: 	: 	: 	: 	: 	: 	: 	3654.1 	3167.2 	3308.3 	3222.8 	3377 	3287.6 	3524.8 	3503.5 	3473.6 	3465 	3675 	3794.9 	3623.1 	3753.9 	: 
A,A,EPRD_ICNS,TJ,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8382.8 	8776.6 	8989.9 	9362.5 	8954.9 	8889.2 	8673.6 	8799.5 	: 
A,A,EPRD_ICNS,TJ,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	183894.5 	194938.8 	200573.3 	212181.7 	219027.6 	: 
A,A,NEI_EXT,TJ,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6490 	: 	: 
A,A,NEI_EXT,TJ,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	146095.1 	130885.6 	135541.5 	135905.2 	141149.5 	128361.8 	130364.6 	134603.7 	152945.9 	: 
A,A,NEI_EXT,TJ,BE	: 	: 	: 	: 	: 	: 	: 	: 	28968.1 	36350.5 	52163.1 	47265.1 	52059.2 	53744.8 	45263.6 	45766.6 	49079.1 	45635.3 	46692.3 	45886.2 	45000.6 	47899.1 	: 
A,A,NEI_EXT,TJ,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	40500.7 	45680.7 	42193.5 	41929.8 	59408.9 	63416.5 	66386.9 	72590 	: 
A,A,NEI_EXT,TJ,CH	: 	: 	: 	: 	: 	: 	: 	: 	37477 	39218.1 	42699.9 	37800.5 	42781.2 	46273.6 	40083.5 	41363.6 	45352.9 	45975.7 	43635.7 	46141.3 	45508.5 	53211.1 	: 
A,A,NEI_EXT,TJ,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	490.5 	751 	843.7 	973.3 	975.4 	997.3 	985.6 	970 	: 
A,A,NEI_EXT,TJ,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	103700 	108498 	109216 	110202.9 	113874.1 	122289.3 	127672.4 	144166.4 	: 
A,A,NEI_EXT,TJ,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	826761.5 	835646.8 	727394.6 	809663 	788182.8 	832253.6 	847168.6 	864707.5 	805604.3 	850604.9 	858511.8 	903264 	: 
A,A,NEI_EXT,TJ,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	58799.6 	54095.8 	59211.9 	52424.9 	49688.7 	56765.7 	60980.6 	62882.2 	63028.6 	54863.2 	55607.9 	56457 	: 
A,A,NEI_EXT,TJ,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12825.9 	14045.9 	19031.3 	16233.1 	26413.2 	19241.4 	16517.6 	20304.4 	: 
A,A,NEI_EXT,TJ,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	36391 	39895.3 	33387 	33854 	32746.4 	32277.1 	31027.6 	32944.3 	: 
A,A,NEI_EXT,TJ,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	195231 	195746 	175304 	180032 	177331 	177457 	185080 	189778.4 	: 
A,A,NEI_EXT,TJ,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3042568.8 s	3194507.4 s	3225781.6 	3260954.2 	3161861.6 	3335768.5 	3292401.7 	3558994.1 	: 
A,A,NEI_EXT,TJ,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	183153 	195233 	197402 	197729 	188499 	202372 	203965 	195270 	191360 	173884 	212255 	: 
A,A,NEI_EXT,TJ,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	346986.4 	376329.3 	410330.9 	396128.8 	397430.3 	396971.2 	373234.2 	416236.3 	: 
A,A,NEI_EXT,TJ,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	53033 	59304 	58918.7 	57449.8 	55599.4 	53216.2 	52602.4 	59002.3 	: 
A,A,NEI_EXT,TJ,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	98511 	104665 	99964 	96901 	87723 	83587 	82668 	88623 	: 
A,A,NEI_EXT,TJ,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5996.7 	6261.9 	7157.1 	8275.4 	8399.1 	7932.7 	6378 	8034.9 	: 
A,A,NEI_EXT,TJ,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	429.4 	454.8 	0 	0 	0 	0 	0 	0 	: 
A,A,NEI_EXT,TJ,IT	: 	: 	: 	: 	: 	: 	: 	: 	357058.8 	342396.2 	309982.9 	226612.1 	324605.1 	348888.8 	310980.9 	343689.5 	339426.9 	367064.3 	333516.2 	340670.2 	333259.9 	350341.2 	: 
A,A,NEI_EXT,TJ,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26704 	27093 	28496 	30972 	30226 	29501 	29993 	32908 	: 
A,A,NEI_EXT,TJ,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2523 	2174.5 	2461.1 	2728.1 	3603.8 	4546.5 	6895.1 	7420.7 	: 
A,A,NEI_EXT,TJ,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24561.3 	31786.6 	31722.4 	21935.1 	29164 	23592.2 	20158.2 	25991.2 	28530.5 	17621.7 	18646.4 	26446.4 	: 
A,A,NEI_EXT,TJ,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6690.6 	6199.7 	6692.6 	6826.5 	: 
A,A,NEI_EXT,TJ,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 	0 	0 	0 	0 	0 	: 
A,A,NEI_EXT,TJ,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24730.3 	26449.4 	26751 	26545.6 	27338.1 	30821.2 	33066.1 	36158.5 	: 
A,A,NEI_EXT,TJ,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25636.8 	22085 	24171.8 	19253.7 	16776.1 	18032.4 	17122.7 	18198.8 	17342.1 	15624.6 	17603 	19317.9 	20663.4 
A,A,NEI_EXT,TJ,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	208772 	227209 	220400 	212690.7 	210815.9 	328396.6 	317158 	319752.5 	: 
A,A,NEI_EXT,TJ,PT	77484 	77031 	78591 	79902 	81695 	83581 	83277 	85741 	83673 	88620 	80723 	82689 	67999 	70191 	70819 	67805 	65442 	65140.1 	66741 	73769.5 	77444.1 	79250.2 	: 
A,A,NEI_EXT,TJ,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	147352 	142215.2 	142406.7 	141112.3 	136018.8 	136821.9 	134593.7 	143059.1 	: 
A,A,NEI_EXT,TJ,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	46259 	45395.7 	46936.2 	49151 	67335.2 	66938 	: 
