freq,unit,landcover,geo\TIME_PERIOD	2009 	2012 	2015 	2018 
A,CVA,LCA,FRG	: 	: 	: 	6.5 
A,CVA,LCA,FRG0	: 	: 	: 	6.5 
A,CVA,LCA,FRH	: 	: 	: 	7.6 
A,CVA,LCA,FRH0	: 	: 	: 	7.6 
A,CVA,LCA,FRI	: 	: 	: 	5.9 
A,CVA,LCA,FRI1	: 	: 	: 	10.2 
A,CVA,LCA,FRI2	: 	: 	: 	14.4 
A,CVA,LCA,FRI3	: 	: 	: 	6.6 
A,CVA,LCA,FRJ	: 	: 	: 	7.2 
A,CVA,LCA,FRJ1	: 	: 	: 	11.1 
A,CVA,LCA,FRJ2	: 	: 	: 	9.4 
A,CVA,LCA,FRK	: 	: 	: 	6.1 
A,CVA,LCA,FRK1	: 	: 	: 	10.6 
A,CVA,LCA,FRK2	: 	: 	: 	7.4 
A,CVA,LCA,FRL	: 	: 	: 	8.2 
A,CVA,LCA,FRL0	: 	: 	: 	8.2 
A,CVA,LCA,FRM	: 	: 	: 	34.3 
A,CVA,LCA,FRM0	: 	: 	: 	34.3 
A,CVA,LCA,HR	: 	: 	7.8 	: 
A,CVA,LCA,HR0	: 	: 	7.8 	: 
A,CVA,LCA,HR03	: 	: 	12.2 	12.4 
A,CVA,LCA,HR04	: 	: 	10.1 	6.6 
A,CVA,LCA,HU	5.4 	5.6 	5.4 	5.8 
A,CVA,LCA,HU1	12.2 	12.9 	12 	9.6 
A,CVA,LCA,HU10	12.2 	12.9 	12 	: 
A,CVA,LCA,HU11	: 	: 	: 	11.1 
A,CVA,LCA,HU12	: 	: 	: 	14.7 
A,CVA,LCA,HU2	8.9 	9.3 	9 	11.8 
A,CVA,LCA,HU21	15.3 	14.9 	14.5 	20.6 
A,CVA,LCA,HU22	14.6 	15.6 	14.8 	18.5 
A,CVA,LCA,HU23	15.7 	17.2 	18.1 	22.5 
A,CVA,LCA,HU3	8 	8.3 	8 	8.2 
A,CVA,LCA,HU31	14.8 	15.7 	15.3 	19.5 
A,CVA,LCA,HU32	13 	12.7 	12.4 	14 
A,CVA,LCA,HU33	13.9 	15.1 	14.1 	10.8 
A,CVA,LCA,IE	6.7 	6.6 	6.5 	8.5 
A,CVA,LCA,IE0	6.7 	6.6 	6.5 	8.5 
A,CVA,LCA,IE01	11.7 	11.5 	11 	: 
A,CVA,LCA,IE02	8.3 	8.2 	8.2 	: 
A,CVA,LCA,IE04	: 	: 	: 	13 
A,CVA,LCA,IE05	: 	: 	: 	14.9 
A,CVA,LCA,IE06	: 	: 	: 	11.6 
A,CVA,LCA,IT	1.9 	1.8 	1.7 	2.1 
A,CVA,LCA,ITC	3.6 	3.4 	3.4 	3.8 
A,CVA,LCA,ITC1	6.1 	5.7 	5.9 	7.7 
A,CVA,LCA,ITC2	24.5 	24.8 	23 	23.5 
A,CVA,LCA,ITC3	12.8 	11.9 	10.6 	14.2 
A,CVA,LCA,ITC4	4.8 	4.7 	4.6 	4.5 
A,CVA,LCA,ITF	4.1 	3.8 	3.6 	5 
A,CVA,LCA,ITF1	10.7 	10.5 	10.3 	9.9 
A,CVA,LCA,ITF2	34.7 	30.4 	29.6 	32.2 
A,CVA,LCA,ITF3	7.3 	6.5 	6.2 	9.5 
A,CVA,LCA,ITF4	7.7 	7 	6.4 	10.8 
A,CVA,LCA,ITF5	16.7 	16.4 	13.8 	15.3 
A,CVA,LCA,ITF6	9.3 	9.1 	8.8 	10.9 
A,CVA,LCA,ITG	6 	5.4 	5 	6 
A,CVA,LCA,ITG1	7.2 	6.6 	6.1 	7.3 
A,CVA,LCA,ITG2	10.9 	9.4 	8.8 	10.2 
A,CVA,LCA,ITH	4 	3.8 	3.6 	4.7 
A,CVA,LCA,ITH1	20.5 	16.8 	15.8 	37.4 
A,CVA,LCA,ITH2	19.2 	19.5 	17.9 	20.5 
A,CVA,LCA,ITH3	6 	6 	5.7 	7.8 
A,CVA,LCA,ITH4	13.8 	12.6 	12.9 	11.8 
A,CVA,LCA,ITH5	6.8 	6.2 	5.8 	6.9 
A,CVA,LCA,ITI	4.7 	4.4 	4.1 	5.1 
A,CVA,LCA,ITI1	7.4 	7.2 	6.7 	8.8 
A,CVA,LCA,ITI2	17 	15.8 	13.6 	11.1 
