freq,unit,landuse,geo\TIME_PERIOD	2009 	2012 	2015 	2018 
A,KM2,LUD6,CZ05	186 	253 	244 	323 
A,KM2,LUD6,CZ06	284 	330 	391 	145 
A,KM2,LUD6,CZ07	206 	223 	281 	127 
A,KM2,LUD6,CZ08	141 	143 	124 	137 
A,KM2,LUD6,DE	14442 	14217 	15988 	18808 
A,KM2,LUD6,DE1	1514 	1435 	1719 	1725 
A,KM2,LUD6,DE11	431 	396 	481 	621 
A,KM2,LUD6,DE12	409 	400 	454 	413 
A,KM2,LUD6,DE13	324 	345 	409 	319 
A,KM2,LUD6,DE14	350 	294 	375 	372 
A,KM2,LUD6,DE2	2899 	2615 	2966 	3674 
A,KM2,LUD6,DE21	628 	598 	668 	870 
A,KM2,LUD6,DE22	337 	367 	379 	511 
A,KM2,LUD6,DE23	482 	336 	436 	294 
A,KM2,LUD6,DE24	250 	242 	292 	451 
A,KM2,LUD6,DE25	369 	315 	357 	484 
A,KM2,LUD6,DE26	494 	462 	481 	598 
A,KM2,LUD6,DE27	339 	295 	353 	466 
A,KM2,LUD6,DE3	40 u	98 	122 	81 
A,KM2,LUD6,DE30	40 u	98 	122 	81 
A,KM2,LUD6,DE4	891 	831 	893 	1055 
A,KM2,LUD6,DE40	891 	831 	893 	1055 
A,KM2,LUD6,DE5	54 u	67 	88 	130 
A,KM2,LUD6,DE50	54 u	67 	88 	130 
A,KM2,LUD6,DE6	117 	132 	166 	141 
A,KM2,LUD6,DE60	117 	132 	166 	141 
A,KM2,LUD6,DE7	911 	1083 	1106 	1425 
A,KM2,LUD6,DE71	360 	387 	411 	623 
A,KM2,LUD6,DE72	184 	223 	251 	238 
A,KM2,LUD6,DE73	368 	473 	444 	564 u
A,KM2,LUD6,DE8	505 	503 	546 	542 
A,KM2,LUD6,DE80	505 	503 	546 	542 
A,KM2,LUD6,DE9	1921 	1783 	1876 	2507 
A,KM2,LUD6,DE91	348 	374 	346 	424 
A,KM2,LUD6,DE92	324 	378 	362 	641 
A,KM2,LUD6,DE93	697 	604 	682 	701 
A,KM2,LUD6,DE94	551 	427 	485 	741 
A,KM2,LUD6,DEA	2084 	2197 	2518 	2530 
A,KM2,LUD6,DEA1	493 	592 	714 	702 
A,KM2,LUD6,DEA2	489 	477 	450 	391 
A,KM2,LUD6,DEA3	361 	390 	407 	639 
A,KM2,LUD6,DEA4	202 	233 	308 	295 
A,KM2,LUD6,DEA5	539 	506 	640 	503 
A,KM2,LUD6,DEB	871 	902 	1079 	1470 
A,KM2,LUD6,DEB1	360 	389 	410 	477 
A,KM2,LUD6,DEB2	212 	212 	272 	303 
A,KM2,LUD6,DEB3	299 	301 	398 	689 
A,KM2,LUD6,DEC	155 	117 	129 	113 u
A,KM2,LUD6,DEC0	155 	117 	129 	113 u
A,KM2,LUD6,DED	660 	667 	835 	1020 
A,KM2,LUD6,DED2	312 	277 	330 	350 
A,KM2,LUD6,DED4	178 	207 	235 	313 
A,KM2,LUD6,DED5	170 	184 	269 	357 
A,KM2,LUD6,DEE	625 	597 	693 	973 
A,KM2,LUD6,DEE0	625 	597 	693 	973 
A,KM2,LUD6,DEF	646 	687 	764 	906 
A,KM2,LUD6,DEF0	646 	687 	764 	906 
A,KM2,LUD6,DEG	548 	503 	490 	516 
A,KM2,LUD6,DEG0	548 	503 	490 	516 
A,KM2,LUD6,DK	1299 	1347 	1612 	1990 
A,KM2,LUD6,DK0	1299 	1347 	1612 	1990 
A,KM2,LUD6,DK01	118 	168 	210 	193 
A,KM2,LUD6,DK02	244 	258 	282 	406 
A,KM2,LUD6,DK03	261 	284 	349 	456 
A,KM2,LUD6,DK04	342 	312 	443 	599 
A,KM2,LUD6,DK05	334 	326 	328 	336 
A,KM2,LUD6,EE	482 	565 	693 	724 
A,KM2,LUD6,EE0	482 	565 	693 	724 
A,KM2,LUD6,EE00	482 	565 	693 	724 
A,KM2,LUD6,EL	2569 	2291 	2326 	3274 
A,KM2,LUD6,EL3	294 	265 	252 	293 
A,KM2,LUD6,EL30	294 	265 	252 	293 
A,KM2,LUD6,EL4	194 	336 	337 	537 
A,KM2,LUD6,EL41	: 	48 u	61 	111 
A,KM2,LUD6,EL42	: 	140 	131 	206 
A,KM2,LUD6,EL43	194 	147 	145 	219 
A,KM2,LUD6,EL5	1157 	745 	790 	1155 
A,KM2,LUD6,EL51	327 	223 	240 	233 
A,KM2,LUD6,EL52	545 	299 	349 	635 
A,KM2,LUD6,EL53	192 	142 	124 	178 
A,KM2,LUD6,EL54	93 	81 	77 	109 
A,KM2,LUD6,EL6	925 	945 	948 	1289 
A,KM2,LUD6,EL61	199 	243 	235 	317 
A,KM2,LUD6,EL62	: 	23 u	33 u	78 u
A,KM2,LUD6,EL63	199 	173 	190 	282 
A,KM2,LUD6,EL64	226 	251 	242 	343 
A,KM2,LUD6,EL65	302 	255 	248 	269 
A,KM2,LUD6,ES	8259 	8489 	10240 	12917 
A,KM2,LUD6,ES1	1042 	1081 	1165 	1509 
A,KM2,LUD6,ES11	809 	804 	902 	1104 
A,KM2,LUD6,ES12	155 	166 	132 	263 
A,KM2,LUD6,ES13	78 	111 	131 	142 
A,KM2,LUD6,ES2	1060 	1161 	1328 	1468 
A,KM2,LUD6,ES21	208 	244 	290 	311 
A,KM2,LUD6,ES22	183 	140 	214 	219 
A,KM2,LUD6,ES23	111 	138 	153 	108 
A,KM2,LUD6,ES24	559 	640 	671 	830 
A,KM2,LUD6,ES3	358 	340 	438 	476 
A,KM2,LUD6,ES30	358 	340 	438 	476 
A,KM2,LUD6,ES4	2954 	2764 	3384 	4422 
A,KM2,LUD6,ES41	1393 	1306 	1629 	2068 
A,KM2,LUD6,ES42	1084 	1031 	1210 	1556 
A,KM2,LUD6,ES43	477 	428 	545 	797 
A,KM2,LUD6,ES5	1400 	1490 	1959 	2289 
A,KM2,LUD6,ES51	871 	878 	1160 	1182 
A,KM2,LUD6,ES52	529 	558 	730 	977 
A,KM2,LUD6,ES53	: 	54 	69 	129 
A,KM2,LUD6,ES6	1444 	1652 	1965 	2754 
A,KM2,LUD6,ES61	1261 	1389 	1617 	2254 
A,KM2,LUD6,ES62	183 	263 	348 	500 
A,KM2,LUD6,EU27_2007	: 	95587 	105471 	131764 
A,KM2,LUD6,EU27_2020	: 	: 	100640 	125802 
A,KM2,LUD6,EU28	: 	: 	106788 	133035 
A,KM2,LUD6,EU_V	91474 	91834 	100854 	124145 
A,KM2,LUD6,FI	5904 	4682 	5750 	6805 
A,KM2,LUD6,FI1	5904 	4672 	5750 	6783 
A,KM2,LUD6,FI19	1926 	1407 	1766 	1569 
A,KM2,LUD6,FI1B	368 	318 	378 	482 
A,KM2,LUD6,FI1C	903 	784 	934 	1097 
A,KM2,LUD6,FI1D	2707 	2164 	2673 	3635 
A,KM2,LUD6,FI2	: 	10 u	: 	22 u
A,KM2,LUD6,FI20	: 	10 u	: 	22 u
A,KM2,LUD6,FR	16195 	17367 	16989 	19418 
A,KM2,LUD6,FR1	683 	904 	971 	1014 
A,KM2,LUD6,FR10	683 	904 	971 	1014 
A,KM2,LUD6,FR2	3487 	3817 	3691 	: 
A,KM2,LUD6,FR21	524 	678 	630 	: 
A,KM2,LUD6,FR22	461 	389 	434 	: 
A,KM2,LUD6,FR23	357 	386 	350 	: 
A,KM2,LUD6,FR24	1012 	1101 	1073 	: 
A,KM2,LUD6,FR25	412 	465 	421 	: 
A,KM2,LUD6,FR26	721 	799 	783 	: 
A,KM2,LUD6,FR3	460 	691 	639 	: 
A,KM2,LUD6,FR30	460 	691 	639 	: 
A,KM2,LUD6,FR4	1498 	1410 	1409 	: 
A,KM2,LUD6,FR41	766 	710 	694 	: 
A,KM2,LUD6,FR42	345 	311 	321 	: 
A,KM2,LUD6,FR43	387 	389 	393 	: 
A,KM2,LUD6,FR5	3587 	3604 	3385 	: 
A,KM2,LUD6,FR51	1474 	1606 	1396 	: 
A,KM2,LUD6,FR52	1244 	1158 	1124 	: 
A,KM2,LUD6,FR53	869 	840 	865 	: 
A,KM2,LUD6,FR6	2440 	2848 	2797 	: 
A,KM2,LUD6,FR61	1116 	1182 	1175 	: 
A,KM2,LUD6,FR62	839 	1180 	1109 	: 
A,KM2,LUD6,FR63	485 	486 	513 	: 
A,KM2,LUD6,FR7	2121 	2199 	2276 	: 
A,KM2,LUD6,FR71	1359 	1434 	1436 	: 
A,KM2,LUD6,FR72	762 	765 	841 	: 
A,KM2,LUD6,FR8	1918 	1894 	1821 	: 
A,KM2,LUD6,FR81	799 	818 	828 	: 
A,KM2,LUD6,FR82	968 	1010 	922 	: 
A,KM2,LUD6,FR83	151 	67 	71 	: 
A,KM2,LUD6,FRB	: 	: 	: 	1213 
A,KM2,LUD6,FRB0	: 	: 	: 	1213 
A,KM2,LUD6,FRC	: 	: 	: 	1046 
A,KM2,LUD6,FRC1	: 	: 	: 	611 
A,KM2,LUD6,FRC2	: 	: 	: 	434 
A,KM2,LUD6,FRD	: 	: 	: 	1006 
A,KM2,LUD6,FRD1	: 	: 	: 	525 
A,KM2,LUD6,FRD2	: 	: 	: 	481 
A,KM2,LUD6,FRE	: 	: 	: 	1561 
A,KM2,LUD6,FRE1	: 	: 	: 	537 
A,KM2,LUD6,FRE2	: 	: 	: 	1024 
A,KM2,LUD6,FRF	: 	: 	: 	2181 
A,KM2,LUD6,FRF1	: 	: 	: 	446 
A,KM2,LUD6,FRF2	: 	: 	: 	803 
A,KM2,LUD6,FRF3	: 	: 	: 	933 
A,KM2,LUD6,FRG	: 	: 	: 	1397 
A,KM2,LUD6,FRG0	: 	: 	: 	1397 
A,KM2,LUD6,FRH	: 	: 	: 	1253 
A,KM2,LUD6,FRH0	: 	: 	: 	1253 
A,KM2,LUD6,FRI	: 	: 	: 	2744 
A,KM2,LUD6,FRI1	: 	: 	: 	1151 
A,KM2,LUD6,FRI2	: 	: 	: 	630 
A,KM2,LUD6,FRI3	: 	: 	: 	963 
A,KM2,LUD6,FRJ	: 	: 	: 	2414 
A,KM2,LUD6,FRJ1	: 	: 	: 	996 
A,KM2,LUD6,FRJ2	: 	: 	: 	1418 
A,KM2,LUD6,FRK	: 	: 	: 	2600 
A,KM2,LUD6,FRK1	: 	: 	: 	821 
A,KM2,LUD6,FRK2	: 	: 	: 	1780 
A,KM2,LUD6,FRL	: 	: 	: 	864 
A,KM2,LUD6,FRL0	: 	: 	: 	864 
A,KM2,LUD6,FRM	: 	: 	: 	123 
A,KM2,LUD6,FRM0	: 	: 	: 	123 
A,KM2,LUD6,HR	: 	: 	1316 	1271 
A,KM2,LUD6,HR0	: 	: 	1316 	1271 
A,KM2,LUD6,HR03	: 	: 	578 	402 
A,KM2,LUD6,HR04	: 	: 	738 	869 
A,KM2,LUD6,HU	1760 	1594 	1723 	3467 
A,KM2,LUD6,HU1	248 	280 	362 	464 
A,KM2,LUD6,HU10	248 	280 	362 	: 
A,KM2,LUD6,HU11	: 	: 	: 	160 
A,KM2,LUD6,HU12	: 	: 	: 	304 
A,KM2,LUD6,HU2	582 	563 	664 	1557 
A,KM2,LUD6,HU21	268 	233 	329 	579 
A,KM2,LUD6,HU22	76 	66 	77 	467 
A,KM2,LUD6,HU23	238 	264 	257 	511 
A,KM2,LUD6,HU3	930 	751 	698 	1445 
A,KM2,LUD6,HU31	297 	184 	158 	370 
A,KM2,LUD6,HU32	419 	325 	346 	523 
A,KM2,LUD6,HU33	214 	241 	194 	553 
A,KM2,LUD6,IE	1037 	1049 	1228 	1578 
A,KM2,LUD6,IE0	1037 	1049 	1228 	1578 
A,KM2,LUD6,IE01	234 	271 	350 	: 
A,KM2,LUD6,IE02	803 	778 	878 	: 
A,KM2,LUD6,IE04	: 	: 	: 	436 
A,KM2,LUD6,IE05	: 	: 	: 	685 
A,KM2,LUD6,IE06	: 	: 	: 	457 
A,KM2,LUD6,IT	8043 	8107 	9463 	10640 
A,KM2,LUD6,ITC	2100 	2049 	2404 	2713 
A,KM2,LUD6,ITC1	744 	707 	817 	792 
A,KM2,LUD6,ITC2	35 u	23 u	36 	38 u
A,KM2,LUD6,ITC3	204 	186 	185 	128 
A,KM2,LUD6,ITC4	1117 	1132 	1365 	1755 
A,KM2,LUD6,ITF	1698 	1646 	1970 	1719 
A,KM2,LUD6,ITF1	197 	220 	246 	225 
A,KM2,LUD6,ITF2	57 u	72 	89 	101 
A,KM2,LUD6,ITF3	369 	375 	443 	383 
A,KM2,LUD6,ITF4	570 	437 	617 	518 
A,KM2,LUD6,ITF5	202 	202 	198 	146 
A,KM2,LUD6,ITF6	302 	340 	378 	346 
A,KM2,LUD6,ITG	1106 	1114 	1199 	1273 
A,KM2,LUD6,ITG1	644 	578 	600 	676 
A,KM2,LUD6,ITG2	462 	537 	599 	597 
A,KM2,LUD6,ITH	1848 	1780 	2195 	2858 
A,KM2,LUD6,ITH1	60 u	63 	90 	168 u
A,KM2,LUD6,ITH2	54 	41 	49 	91 
A,KM2,LUD6,ITH3	801 	783 	965 	1340 
A,KM2,LUD6,ITH4	179 	134 	160 	203 
A,KM2,LUD6,ITH5	754 	760 	931 	1056 
A,KM2,LUD6,ITI	1291 	1519 	1695 	2077 
A,KM2,LUD6,ITI1	579 	504 	555 	751 
A,KM2,LUD6,ITI2	105 	185 	241 	260 
A,KM2,LUD6,ITI3	212 	207 	228 	369 
A,KM2,LUD6,ITI4	396 	623 	671 	697 
A,KM2,LUD6,LT	1036 	940 	1139 	1250 
A,KM2,LUD6,LT0	1036 	940 	1139 	1250 
A,KM2,LUD6,LT00	1036 	940 	1139 	: 
A,KM2,LUD6,LT01	: 	: 	: 	253 
A,KM2,LUD6,LT02	: 	: 	: 	997 
A,KM2,LUD6,LU	130 	160 	122 	144 
A,KM2,LUD6,LU0	130 	160 	122 	144 
A,KM2,LUD6,LU00	130 	160 	122 	144 
A,KM2,LUD6,LV	798 	745 	1007 	1108 
A,KM2,LUD6,LV0	798 	745 	1007 	1108 
A,KM2,LUD6,LV00	798 	745 	1007 	1108 
A,KM2,LUD6,MT	: 	12 	15 u	15 
A,KM2,LUD6,MT0	: 	12 	15 u	15 u
A,KM2,LUD6,MT00	: 	12 	15 u	15 u
A,KM2,LUD6,NL	3618 	3353 	3153 	4644 
A,KM2,LUD6,NL1	607 	610 	488 	537 
A,KM2,LUD6,NL11	208 	116 	141 	183 
A,KM2,LUD6,NL12	245 	337 	236 	286 
A,KM2,LUD6,NL13	153 	157 	111 	69 
A,KM2,LUD6,NL2	838 	870 	790 	1160 
A,KM2,LUD6,NL21	224 	292 	313 	217 
A,KM2,LUD6,NL22	422 	275 	372 	561 
A,KM2,LUD6,NL23	192 	303 	105 	381 
A,KM2,LUD6,NL3	1403 	1300 	1228 	2012 
A,KM2,LUD6,NL31	93 	118 	111 	135 
A,KM2,LUD6,NL32	415 	390 	290 	817 
A,KM2,LUD6,NL33	633 	590 	588 	691 
A,KM2,LUD6,NL34	261 	202 	239 	368 
A,KM2,LUD6,NL4	771 	573 	647 	935 
A,KM2,LUD6,NL41	583 	452 	490 	679 
A,KM2,LUD6,NL42	188 	121 	157 	256 
A,KM2,LUD6,PL	6774 	6218 	6701 	8626 
A,KM2,LUD6,PL1	1396 	1333 	1473 	: 
A,KM2,LUD6,PL11	460 	515 	603 	: 
A,KM2,LUD6,PL12	935 	819 	870 	: 
A,KM2,LUD6,PL2	884 	700 	791 	1084 
A,KM2,LUD6,PL21	461 	329 	354 	579 
A,KM2,LUD6,PL22	423 	371 	436 	506 
A,KM2,LUD6,PL3	1704 	1271 	1396 	: 
A,KM2,LUD6,PL31	631 	472 	508 	: 
A,KM2,LUD6,PL32	355 	271 	273 	: 
A,KM2,LUD6,PL33	209 	153 	213 	: 
A,KM2,LUD6,PL34	509 	374 	402 	: 
A,KM2,LUD6,PL4	1243 	1294 	1353 	1559 
A,KM2,LUD6,PL41	630 	613 	724 	786 
A,KM2,LUD6,PL42	390 	413 	359 	489 
A,KM2,LUD6,PL43	223 	269 	270 	284 
A,KM2,LUD6,PL5	535 	632 	572 	980 
A,KM2,LUD6,PL51	418 	477 	447 	840 
A,KM2,LUD6,PL52	117 	155 	125 	140 
A,KM2,LUD6,PL6	1013 	987 	1116 	1703 
A,KM2,LUD6,PL61	374 	380 	378 	438 
A,KM2,LUD6,PL62	367 	293 	336 	730 
A,KM2,LUD6,PL63	272 	313 	403 	535 
A,KM2,LUD6,PL7	: 	: 	: 	699 
A,KM2,LUD6,PL71	: 	: 	: 	481 
A,KM2,LUD6,PL72	: 	: 	: 	218 
A,KM2,LUD6,PL8	: 	: 	: 	1382 
A,KM2,LUD6,PL81	: 	: 	: 	549 
A,KM2,LUD6,PL82	: 	: 	: 	435 
A,KM2,LUD6,PL84	: 	: 	: 	398 
A,KM2,LUD6,PL9	: 	: 	: 	1219 
A,KM2,LUD6,PL91	: 	: 	: 	381 
A,KM2,LUD6,PL92	: 	: 	: 	838 
A,KM2,LUD6,PT	2236 	2948 	2387 	3529 
A,KM2,LUD6,PT1	2236 	2948 	2387 	3529 
A,KM2,LUD6,PT11	636 	1119 	747 	1361 
A,KM2,LUD6,PT15	171 	128 	135 	106 
A,KM2,LUD6,PT16	765 	1003 	822 	1283 
A,KM2,LUD6,PT17	208 	169 	208 	195 
A,KM2,LUD6,PT18	456 	529 	476 	583 
A,KM2,LUD6,RO	: 	2337 	2788 	5122 
A,KM2,LUD6,RO1	: 	633 	704 	891 
A,KM2,LUD6,RO11	: 	297 	336 	507 
A,KM2,LUD6,RO12	: 	336 	367 	384 
A,KM2,LUD6,RO2	: 	751 	841 	1610 
A,KM2,LUD6,RO21	: 	338 	440 	696 
A,KM2,LUD6,RO22	: 	413 	401 	914 
A,KM2,LUD6,RO3	: 	394 	568 	1267 
A,KM2,LUD6,RO31	: 	313 	441 	1089 
A,KM2,LUD6,RO32	: 	81 	127 	178 
A,KM2,LUD6,RO4	: 	559 	676 	1354 
A,KM2,LUD6,RO41	: 	290 	373 	703 
A,KM2,LUD6,RO42	: 	269 	303 	651 
A,KM2,LUD6,SE	5296 	5805 	7043 	9986 
A,KM2,LUD6,SE1	1164 	1026 	1116 	3582 u
A,KM2,LUD6,SE11	274 	223 	279 	365 
A,KM2,LUD6,SE12	890 	803 	837 	3217 u
A,KM2,LUD6,SE2	1538 	1710 	1919 	2396 
A,KM2,LUD6,SE21	523 	544 	644 	926 
A,KM2,LUD6,SE22	328 	301 	413 	506 
A,KM2,LUD6,SE23	686 	865 	862 	965 
A,KM2,LUD6,SE3	2594 	3069 	4009 	4008 
A,KM2,LUD6,SE31	958 	1189 	1401 	1517 
A,KM2,LUD6,SE32	571 	600 	1065 	1262 
A,KM2,LUD6,SE33	1065 	1280 	1543 	1229 
A,KM2,LUD6,SI	459 	350 	428 	569 
A,KM2,LUD6,SI0	459 	350 	428 	569 
A,KM2,LUD6,SI03	274 	202 	232 	341 
A,KM2,LUD6,SI04	185 	147 	196 	229 
A,KM2,LUD6,SK	756 	785 	813 	1124 
A,KM2,LUD6,SK0	756 	785 	813 	1124 
A,KM2,LUD6,SK01	135 	183 	130 	48 u
A,KM2,LUD6,SK02	329 	247 	302 	480 
A,KM2,LUD6,SK03	165 	190 	190 	320 
A,KM2,LUD6,SK04	128 	164 	190 	275 
A,KM2,LUD6,UK	5182 	5629 	6144 	7233 
A,KM2,LUD6,UKC	214 	236 	261 	359 
A,KM2,LUD6,UKC1	105 	106 	125 	183 
A,KM2,LUD6,UKC2	109 	131 	136 	176 
A,KM2,LUD6,UKD	392 	420 	582 	617 
A,KM2,LUD6,UKD1	141 	94 	112 	101 
A,KM2,LUD6,UKD3	69 u	40 u	143 	124 
A,KM2,LUD6,UKD4	81 	171 	163 	131 u
A,KM2,LUD6,UKD6	44 u	54 u	57 u	107 
A,KM2,LUD6,UKD7	58 u	61 u	107 	154 
A,KM2,LUD6,UKE	423 	395 	521 	494 
A,KM2,LUD6,UKE1	51 u	: 	40 u	68 u
A,KM2,LUD6,UKE2	180 	180 	189 	208 
A,KM2,LUD6,UKE3	115 	107 	138 	94 
A,KM2,LUD6,UKE4	77 	108 	154 	125 
A,KM2,LUD6,UKF	352 	592 	607 	568 
A,KM2,LUD6,UKF1	94 u	134 	150 	206 
A,KM2,LUD6,UKF2	68 u	221 	190 	160 
A,KM2,LUD6,UKF3	190 	238 	267 	202 
A,KM2,LUD6,UKG	407 	521 	572 	688 
A,KM2,LUD6,UKG1	168 	209 	224 	239 
A,KM2,LUD6,UKG2	122 	160 	193 	234 
A,KM2,LUD6,UKG3	116 	152 	155 	215 
A,KM2,LUD6,UKH	383 	489 	468 	579 
A,KM2,LUD6,UKH1	170 	165 	177 	251 
A,KM2,LUD6,UKH2	149 	186 	170 	200 
A,KM2,LUD6,UKH3	64 u	139 	120 	127 u
A,KM2,LUD6,UKI	290 	292 	301 	284 
A,KM2,LUD6,UKI3	37 u	22 u	29 u	36 
A,KM2,LUD6,UKI4	44 u	39 u	40 u	53 
A,KM2,LUD6,UKI5	84 	95 	93 	90 
A,KM2,LUD6,UKI6	63 u	71 u	56 u	44 u
A,KM2,LUD6,UKI7	63 u	65 u	84 	61 
A,KM2,LUD6,UKJ	1021 	1040 	1044 	820 
A,KM2,LUD6,UKJ1	455 	445 	425 	187 
A,KM2,LUD6,UKJ2	174 	215 	225 	312 
A,KM2,LUD6,UKJ3	189 	164 	186 	173 
A,KM2,LUD6,UKJ4	203 	217 	208 	148 
A,KM2,LUD6,UKK	235 	219 	338 	822 
A,KM2,LUD6,UKK1	130 	99 	138 	358 
A,KM2,LUD6,UKK2	34 	41 u	73 	219 
A,KM2,LUD6,UKK3	10 u	: 	34 u	57 
A,KM2,LUD6,UKK4	60 	79 u	93 	189 
A,KM2,LUD6,UKL	338 	379 	411 	496 
A,KM2,LUD6,UKL1	233 	225 	271 	360 
A,KM2,LUD6,UKL2	105 	155 	139 	136 
A,KM2,LUD6,UKM	853 	771 	777 	963 
A,KM2,LUD6,UKM2	253 	213 	251 	: 
A,KM2,LUD6,UKM3	255 	223 	295 	: 
A,KM2,LUD6,UKM5	79 	114 	67 	43 u
A,KM2,LUD6,UKM6	267 	221 	164 	278 
A,KM2,LUD6,UKM7	: 	: 	: 	264 
A,KM2,LUD6,UKM8	: 	: 	: 	111 
A,KM2,LUD6,UKM9	: 	: 	: 	266 
A,KM2,LUD6,UKN	274 	273 	264 	544 
A,KM2,LUD6,UKN0	274 	273 	264 	544 
A,KM2,LUE,AT	3759 	3791 	3966 	3727 
A,KM2,LUE,AT1	1419 	1293 	1321 	1332 
A,KM2,LUE,AT11	255 	263 	268 	334 
A,KM2,LUE,AT12	989 	862 	903 	851 
A,KM2,LUE,AT13	175 	168 	150 	146 
A,KM2,LUE,AT2	995 	1084 	1184 	1093 
A,KM2,LUE,AT21	278 	317 	363 	362 
A,KM2,LUE,AT22	718 	766 	822 	732 
A,KM2,LUE,AT3	1345 	1415 	1460 	1301 
A,KM2,LUE,AT31	663 	728 	794 	677 
A,KM2,LUE,AT32	274 	217 	226 	241 
A,KM2,LUE,AT33	289 	321 	300 	251 
A,KM2,LUE,AT34	119 	148 	140 	133 
A,KM2,LUE,BE	5110 	4614 	4890 	4534 
A,KM2,LUE,BE1	123 	122 	108 	62 u
A,KM2,LUE,BE10	123 	122 	108 	62 u
A,KM2,LUE,BE2	3062 	2777 	2791 	2833 
A,KM2,LUE,BE21	726 	669 	759 	708 
A,KM2,LUE,BE22	759 	508 	490 	561 
A,KM2,LUE,BE23	561 	607 	584 	530 
A,KM2,LUE,BE24	452 	445 	454 	499 
A,KM2,LUE,BE25	565 	548 	503 	536 
A,KM2,LUE,BE3	1925 	1715 	1992 	1639 
A,KM2,LUE,BE31	268 	206 	258 	205 
A,KM2,LUE,BE32	598 	467 	580 	542 
A,KM2,LUE,BE33	611 	629 	560 	427 
A,KM2,LUE,BE34	177 	98 	197 	202 
A,KM2,LUE,BE35	271 	315 	398 	263 
A,KM2,LUE,BG	: 	2146 	2701 	2042 
A,KM2,LUE,BG3	: 	1339 	1627 	1151 
A,KM2,LUE,BG31	: 	264 	385 	263 
A,KM2,LUE,BG32	: 	279 	332 	182 
A,KM2,LUE,BG33	: 	448 	371 	375 
A,KM2,LUE,BG34	: 	347 	540 	331 
A,KM2,LUE,BG4	: 	807 	1074 	892 
A,KM2,LUE,BG41	: 	491 	637 	541 
A,KM2,LUE,BG42	: 	316 	437 	351 
A,KM2,LUE,CY	: 	307 	438 	404 
A,KM2,LUE,CY0	: 	307 	438 	404 
A,KM2,LUE,CY00	: 	307 	438 	404 
A,KM2,LUE,CZ	4638 	4078 	4008 	4417 
A,KM2,LUE,CZ0	4638 	4078 	4008 	4417 
A,KM2,LUE,CZ01	69 	83 	72 	181 u
A,KM2,LUE,CZ02	721 	504 	519 	491 
A,KM2,LUE,CZ03	730 	703 	715 	695 
A,KM2,LUE,CZ04	644 	602 	529 	443 
A,KM2,LUE,CZ05	714 	605 	629 	682 
A,KM2,LUE,CZ06	800 	677 	690 	692 
A,KM2,LUE,CZ07	627 	560 	532 	784 
A,KM2,LUE,CZ08	334 	343 	321 	448 
A,KM2,LUE,DE	33394 	33542 	34310 	32159 
A,KM2,LUE,DE1	3209 	3360 	3480 	3219 
A,KM2,LUE,DE11	984 	982 	1105 	905 
A,KM2,LUE,DE12	897 	893 	770 	855 
A,KM2,LUE,DE13	692 	755 	806 	652 
A,KM2,LUE,DE14	636 	730 	799 	807 
A,KM2,LUE,DE2	4667 	5258 	6020 	5043 
A,KM2,LUE,DE21	1582 	1763 	1624 	1248 
A,KM2,LUE,DE22	538 	641 	574 	461 
A,KM2,LUE,DE23	484 	623 	875 	1057 
A,KM2,LUE,DE24	440 	427 	743 	498 
A,KM2,LUE,DE25	552 	603 	749 	543 
A,KM2,LUE,DE26	516 	492 	727 	468 
A,KM2,LUE,DE27	556 	707 	728 	767 
A,KM2,LUE,DE3	561 	530 	462 	519 
A,KM2,LUE,DE30	561 	530 	462 	519 
A,KM2,LUE,DE4	2107 	1941 	2045 	2255 
A,KM2,LUE,DE40	2107 	1941 	2045 	2255 
A,KM2,LUE,DE5	228 	191 	182 	143 
A,KM2,LUE,DE50	228 	191 	182 	143 
A,KM2,LUE,DE6	358 	355 	330 	325 
A,KM2,LUE,DE60	358 	355 	330 	325 
A,KM2,LUE,DE7	2205 	1753 	1870 	1713 
A,KM2,LUE,DE71	1141 	907 	865 	790 
A,KM2,LUE,DE72	459 	354 	393 	379 
A,KM2,LUE,DE73	605 	493 	612 	544 
A,KM2,LUE,DE8	1649 	1807 	1826 	1629 
A,KM2,LUE,DE80	1649 	1807 	1826 	1629 
A,KM2,LUE,DE9	4090 	4568 	4498 	4866 
A,KM2,LUE,DE91	496 	722 	801 	429 
A,KM2,LUE,DE92	886 	935 	1075 	747 
A,KM2,LUE,DE93	1292 	1457 	1280 	1661 
A,KM2,LUE,DE94	1416 	1453 	1343 	2028 
A,KM2,LUE,DEA	5837 	5465 	5009 	4978 
A,KM2,LUE,DEA1	1479 	1293 	1154 	1400 
A,KM2,LUE,DEA2	1251 	1223 	1104 	1029 
A,KM2,LUE,DEA3	1010 	802 	834 	786 
A,KM2,LUE,DEA4	825 	788 	722 	830 
A,KM2,LUE,DEA5	1271 	1359 	1196 	934 
A,KM2,LUE,DEB	1882 	1692 	1623 	1619 
A,KM2,LUE,DEB1	781 	845 	787 	734 
A,KM2,LUE,DEB2	334 	241 	212 	270 
A,KM2,LUE,DEB3	767 	607 	623 	616 
A,KM2,LUE,DEC	454 	449 	399 	222 u
A,KM2,LUE,DEC0	454 	449 	399 	222 u
A,KM2,LUE,DED	2055 	2124 	2193 	1776 
A,KM2,LUE,DED2	859 	1065 	1103 	933 
A,KM2,LUE,DED4	756 	656 	657 	453 
A,KM2,LUE,DED5	439 	403 	433 	390 
