A,FT15_SO,C_2_3_HEADS,EE	80 	150 	380 	290 
A,FT15_SO,C_2_3_HEADS,EL	140 	50 	40 	50 
A,FT15_SO,C_2_3_HEADS,ES	2100 	600 	1580 	1910 
A,FT15_SO,C_2_3_HEADS,FI	50 	50 	80 	130 
A,FT15_SO,C_2_3_HEADS,FR	30620 	30810 	58130 	87730 
A,FT15_SO,C_2_3_HEADS,HR	: 	220 	240 	960 
A,FT15_SO,C_2_3_HEADS,HU	2560 	2090 	4110 	6300 
A,FT15_SO,C_2_3_HEADS,IE	1350 	1890 	4910 	6290 
A,FT15_SO,C_2_3_HEADS,IS	: 	: 	0 	: 
A,FT15_SO,C_2_3_HEADS,IT	1860 	6060 	3890 	2450 
A,FT15_SO,C_2_3_HEADS,LT	1480 	1750 	2860 	4450 
A,FT15_SO,C_2_3_HEADS,LU	0 	0 	0 	0 
A,FT15_SO,C_2_3_HEADS,LV	470 	890 	1340 	1690 
A,FT15_SO,C_2_3_HEADS,ME	: 	: 	0 	: 
A,FT15_SO,C_2_3_HEADS,NL	20 	20 	70 	70 
A,FT15_SO,C_2_3_HEADS,NO	: 	90 	70 	40 
A,FT15_SO,C_2_3_HEADS,PL	1440 	1500 	6410 	9580 
A,FT15_SO,C_2_3_HEADS,PT	250 	220 	340 	460 
A,FT15_SO,C_2_3_HEADS,RO	3290 	3040 	2730 	3100 
A,FT15_SO,C_2_3_HEADS,SE	750 	670 	1190 	1070 
A,FT15_SO,C_2_3_HEADS,SI	0 	0 	50 	210 
A,FT15_SO,C_2_3_HEADS,SK	1260 	2040 	2730 	4400 
A,FT15_SO,C_2_3_HEADS,UK	26610 	23460 	25040 	26910 
A,FT15_SO,C_2_3_HOLD,AT	140 	80 	100 	190 
A,FT15_SO,C_2_3_HOLD,BE	30 	30 	70 	60 
A,FT15_SO,C_2_3_HOLD,BG	150 	130 	190 	250 
A,FT15_SO,C_2_3_HOLD,CH	: 	: 	50 	: 
A,FT15_SO,C_2_3_HOLD,CY	0 	0 	0 	0 
A,FT15_SO,C_2_3_HOLD,CZ	240 	260 	350 	410 
A,FT15_SO,C_2_3_HOLD,DE	2170 	2000 	2000 	2710 
A,FT15_SO,C_2_3_HOLD,DK	760 	750 	870 	640 
A,FT15_SO,C_2_3_HOLD,EE	40 	50 	40 	50 
A,FT15_SO,C_2_3_HOLD,EL	50 	20 	20 	20 
A,FT15_SO,C_2_3_HOLD,ES	170 	120 	140 	170 
A,FT15_SO,C_2_3_HOLD,FI	20 	20 	20 	40 
A,FT15_SO,C_2_3_HOLD,FR	4120 	3810 	6850 	8570 
A,FT15_SO,C_2_3_HOLD,HR	: 	70 	60 	130 
A,FT15_SO,C_2_3_HOLD,HU	230 	230 	460 	680 
A,FT15_SO,C_2_3_HOLD,IE	110 	150 	330 	460 
A,FT15_SO,C_2_3_HOLD,IS	: 	: 	0 	: 
A,FT15_SO,C_2_3_HOLD,IT	810 	530 	1080 	520 
A,FT15_SO,C_2_3_HOLD,LT	530 	570 	650 	1170 
A,FT15_SO,C_2_3_HOLD,LU	0 	0 	0 	0 
A,FT15_SO,C_2_3_HOLD,LV	160 	230 	310 	350 
A,FT15_SO,C_2_3_HOLD,ME	: 	: 	0 	: 
A,FT15_SO,C_2_3_HOLD,NL	10 	10 	10 	20 
A,FT15_SO,C_2_3_HOLD,NO	: 	30 	20 	10 
A,FT15_SO,C_2_3_HOLD,PL	380 	460 	2040 	2690 
A,FT15_SO,C_2_3_HOLD,PT	20 	40 	40 	60 
A,FT15_SO,C_2_3_HOLD,RO	1090 	890 	310 	330 
A,FT15_SO,C_2_3_HOLD,SE	140 	130 	210 	160 
A,FT15_SO,C_2_3_HOLD,SI	0 	0 	20 	40 
A,FT15_SO,C_2_3_HOLD,SK	80 	120 	110 	170 
A,FT15_SO,C_2_3_HOLD,UK	1350 	1440 	1710 	1750 
A,FT15_SO,C_2_4_HEADS,AT	90 	20 	50 	70 
A,FT15_SO,C_2_4_HEADS,BE	10 	10 	40 	20 
A,FT15_SO,C_2_4_HEADS,BG	60 	100 	210 	180 
A,FT15_SO,C_2_4_HEADS,CH	: 	: 	20 	: 
A,FT15_SO,C_2_4_HEADS,CY	0 	0 	0 	0 
A,FT15_SO,C_2_4_HEADS,CZ	720 	1130 	810 	1260 
A,FT15_SO,C_2_4_HEADS,DE	1720 	1640 	1700 	2150 
A,FT15_SO,C_2_4_HEADS,DK	390 	440 	620 	500 
A,FT15_SO,C_2_4_HEADS,EE	0 	20 	40 	60 
A,FT15_SO,C_2_4_HEADS,EL	70 	0 	0 	0 
A,FT15_SO,C_2_4_HEADS,ES	940 	140 	470 	690 
A,FT15_SO,C_2_4_HEADS,FI	20 	0 	50 	50 
A,FT15_SO,C_2_4_HEADS,FR	7300 	7060 	14430 	14820 
A,FT15_SO,C_2_4_HEADS,HR	: 	0 	270 	60 
A,FT15_SO,C_2_4_HEADS,HU	220 	220 	430 	790 
A,FT15_SO,C_2_4_HEADS,IE	2700 	3000 	6500 	5430 
A,FT15_SO,C_2_4_HEADS,IS	: 	: 	0 	: 
A,FT15_SO,C_2_4_HEADS,IT	1080 	130 	580 	1400 
A,FT15_SO,C_2_4_HEADS,LT	190 	230 	400 	440 
A,FT15_SO,C_2_4_HEADS,LU	0 	0 	0 	0 
A,FT15_SO,C_2_4_HEADS,LV	40 	60 	210 	230 
A,FT15_SO,C_2_4_HEADS,ME	: 	: 	0 	: 
A,FT15_SO,C_2_4_HEADS,NL	0 	0 	0 	0 
A,FT15_SO,C_2_4_HEADS,NO	: 	10 	40 	10 
A,FT15_SO,C_2_4_HEADS,PL	530 	340 	1080 	1870 
A,FT15_SO,C_2_4_HEADS,PT	100 	80 	100 	80 
A,FT15_SO,C_2_4_HEADS,RO	260 	590 	600 	1050 
A,FT15_SO,C_2_4_HEADS,SE	200 	190 	280 	220 
A,FT15_SO,C_2_4_HEADS,SI	10 	0 	0 	0 
A,FT15_SO,C_2_4_HEADS,SK	150 	470 	500 	730 
A,FT15_SO,C_2_4_HEADS,UK	9470 	9040 	9370 	9230 
A,FT15_SO,C_2_4_HOLD,AT	40 	10 	30 	50 
A,FT15_SO,C_2_4_HOLD,BE	10 	10 	20 	20 
A,FT15_SO,C_2_4_HOLD,BG	30 	30 	50 	40 
A,FT15_SO,C_2_4_HOLD,CH	: 	: 	10 	: 
A,FT15_SO,C_2_4_HOLD,CY	0 	0 	0 	0 
A,FT15_SO,C_2_4_HOLD,CZ	120 	130 	180 	280 
A,FT15_SO,C_2_4_HOLD,DE	800 	880 	910 	1160 
A,FT15_SO,C_2_4_HOLD,DK	260 	320 	400 	410 
A,FT15_SO,C_2_4_HOLD,EE	0 	10 	20 	30 
A,FT15_SO,C_2_4_HOLD,EL	20 	0 	0 	0 
A,FT15_SO,C_2_4_HOLD,ES	210 	90 	160 	150 
A,FT15_SO,C_2_4_HOLD,FI	10 	0 	20 	20 
A,FT15_SO,C_2_4_HOLD,FR	2960 	2950 	5250 	6240 
A,FT15_SO,C_2_4_HOLD,HR	: 	0 	20 	10 
A,FT15_SO,C_2_4_HOLD,HU	60 	80 	130 	210 
A,FT15_SO,C_2_4_HOLD,IE	170 	210 	460 	450 
A,FT15_SO,C_2_4_HOLD,IS	: 	: 	0 	: 
A,FT15_SO,C_2_4_HOLD,IT	200 	120 	200 	340 
A,FT15_SO,C_2_4_HOLD,LT	40 	100 	140 	150 
A,FT15_SO,C_2_4_HOLD,LU	0 	0 	0 	0 
A,FT15_SO,C_2_4_HOLD,LV	10 	20 	60 	80 
A,FT15_SO,C_2_4_HOLD,ME	: 	: 	0 	: 
A,FT15_SO,C_2_4_HOLD,NL	0 	0 	0 	0 
A,FT15_SO,C_2_4_HOLD,NO	: 	10 	10 	10 
A,FT15_SO,C_2_4_HOLD,PL	150 	110 	530 	540 
A,FT15_SO,C_2_4_HOLD,PT	50 	50 	50 	40 
A,FT15_SO,C_2_4_HOLD,RO	60 	80 	130 	80 
A,FT15_SO,C_2_4_HOLD,SE	100 	70 	100 	90 
A,FT15_SO,C_2_4_HOLD,SI	10 	0 	0 	0 
A,FT15_SO,C_2_4_HOLD,SK	40 	60 	80 	120 
A,FT15_SO,C_2_4_HOLD,UK	1120 	1310 	1610 	1670 
A,FT15_SO,C_2_5_HEADS,AT	70 	100 	90 	90 
A,FT15_SO,C_2_5_HEADS,BE	150 	250 	340 	180 
A,FT15_SO,C_2_5_HEADS,BG	790 	800 	1410 	740 
A,FT15_SO,C_2_5_HEADS,CH	: 	: 	80 	: 
A,FT15_SO,C_2_5_HEADS,CY	0 	0 	0 	0 
A,FT15_SO,C_2_5_HEADS,CZ	960 	1580 	1740 	2400 
A,FT15_SO,C_2_5_HEADS,DE	6520 	5600 	4890 	6690 
A,FT15_SO,C_2_5_HEADS,DK	1160 	1540 	1480 	1850 
A,FT15_SO,C_2_5_HEADS,EE	0 	10 	70 	130 
A,FT15_SO,C_2_5_HEADS,EL	0 	10 	40 	0 
A,FT15_SO,C_2_5_HEADS,ES	4770 	1690 	920 	1770 
A,FT15_SO,C_2_5_HEADS,FI	0 	0 	20 	20 
A,FT15_SO,C_2_5_HEADS,FR	30300 	32140 	67770 	84720 
A,FT15_SO,C_2_5_HEADS,HR	: 	150 	30 	40 
A,FT15_SO,C_2_5_HEADS,HU	1020 	610 	1310 	2450 
A,FT15_SO,C_2_5_HEADS,IE	460 	750 	2580 	2240 
A,FT15_SO,C_2_5_HEADS,IS	: 	: 	0 	: 
A,FT15_SO,C_2_5_HEADS,IT	1350 	1420 	2420 	1390 
A,FT15_SO,C_2_5_HEADS,LT	360 	530 	1160 	2030 
A,FT15_SO,C_2_5_HEADS,LU	0 	0 	0 	0 
A,FT15_SO,C_2_5_HEADS,LV	120 	390 	490 	750 
A,FT15_SO,C_2_5_HEADS,ME	: 	: 	0 	: 
A,FT15_SO,C_2_5_HEADS,NL	0 	30 	20 	10 
A,FT15_SO,C_2_5_HEADS,NO	: 	30 	0 	60 
A,FT15_SO,C_2_5_HEADS,PL	540 	730 	2540 	2260 
A,FT15_SO,C_2_5_HEADS,PT	190 	390 	350 	550 
A,FT15_SO,C_2_5_HEADS,RO	1390 	1370 	1660 	2390 
A,FT15_SO,C_2_5_HEADS,SE	460 	350 	620 	520 
A,FT15_SO,C_2_5_HEADS,SI	0 	0 	10 	40 
A,FT15_SO,C_2_5_HEADS,SK	530 	1080 	1080 	1980 
A,FT15_SO,C_2_5_HEADS,UK	7890 	8240 	10920 	9740 
A,FT15_SO,C_2_5_HOLD,AT	70 	50 	50 	50 
A,FT15_SO,C_2_5_HOLD,BE	30 	40 	80 	50 
A,FT15_SO,C_2_5_HOLD,BG	70 	60 	110 	50 
A,FT15_SO,C_2_5_HOLD,CH	: 	: 	30 	: 
A,FT15_SO,C_2_5_HOLD,CY	0 	0 	0 	0 
A,FT15_SO,C_2_5_HOLD,CZ	100 	120 	200 	290 
A,FT15_SO,C_2_5_HOLD,DE	1240 	900 	1280 	1620 
A,FT15_SO,C_2_5_HOLD,DK	450 	470 	530 	570 
A,FT15_SO,C_2_5_HOLD,EE	0 	10 	20 	30 
A,FT15_SO,C_2_5_HOLD,EL	0 	10 	10 	0 
A,FT15_SO,C_2_5_HOLD,ES	260 	90 	140 	110 
A,FT15_SO,C_2_5_HOLD,FI	0 	0 	10 	10 
A,FT15_SO,C_2_5_HOLD,FR	4400 	4260 	7940 	9170 
A,FT15_SO,C_2_5_HOLD,HR	: 	30 	20 	20 
A,FT15_SO,C_2_5_HOLD,HU	100 	70 	170 	260 
A,FT15_SO,C_2_5_HOLD,IE	80 	110 	250 	290 
A,FT15_SO,C_2_5_HOLD,IS	: 	: 	0 	: 
A,FT15_SO,C_2_5_HOLD,IT	300 	440 	460 	220 
A,FT15_SO,C_2_5_HOLD,LT	120 	160 	250 	390 
A,FT15_SO,C_2_5_HOLD,LU	0 	0 	0 	0 
A,FT15_SO,C_2_5_HOLD,LV	40 	70 	180 	220 
A,FT15_SO,C_2_5_HOLD,ME	: 	: 	0 	: 
A,FT15_SO,C_2_5_HOLD,NL	0 	10 	10 	10 
A,FT15_SO,C_2_5_HOLD,NO	: 	10 	0 	10 
A,FT15_SO,C_2_5_HOLD,PL	140 	260 	730 	560 
A,FT15_SO,C_2_5_HOLD,PT	20 	50 	30 	30 
A,FT15_SO,C_2_5_HOLD,RO	320 	170 	340 	470 
A,FT15_SO,C_2_5_HOLD,SE	110 	100 	150 	130 
A,FT15_SO,C_2_5_HOLD,SI	0 	0 	10 	10 
A,FT15_SO,C_2_5_HOLD,SK	50 	90 	80 	110 
A,FT15_SO,C_2_5_HOLD,UK	860 	1240 	1490 	1540 
A,FT15_SO,C_2_6_HEADS,AT	20 	50 	70 	110 
A,FT15_SO,C_2_6_HEADS,BE	0 	0 	0 	0 
A,FT15_SO,C_2_6_HEADS,BG	5280 	4100 	8560 	13020 
A,FT15_SO,C_2_6_HEADS,CH	: 	: 	10 	: 
A,FT15_SO,C_2_6_HEADS,CY	0 	0 	0 	0 
A,FT15_SO,C_2_6_HEADS,CZ	1250 	1330 	2160 	2440 
A,FT15_SO,C_2_6_HEADS,DE	5100 	5000 	3260 	6610 
A,FT15_SO,C_2_6_HEADS,DK	140 	120 	60 	40 
A,FT15_SO,C_2_6_HEADS,EE	150 	180 	120 	60 
A,FT15_SO,C_2_6_HEADS,EL	220 	200 	100 	190 
A,FT15_SO,C_2_6_HEADS,ES	400 	180 	90 	50 
A,FT15_SO,C_2_6_HEADS,FI	20 	0 	10 	30 
A,FT15_SO,C_2_6_HEADS,FR	4280 	3500 	5860 	7160 
A,FT15_SO,C_2_6_HEADS,HR	: 	550 	410 	650 
A,FT15_SO,C_2_6_HEADS,HU	1580 	910 	1820 	2510 
A,FT15_SO,C_2_6_HEADS,IE	0 	0 	0 	0 
A,FT15_SO,C_2_6_HEADS,IS	: 	: 	0 	: 
A,FT15_SO,C_2_6_HEADS,IT	260 	1010 	550 	630 
