freq,nutrient,unit,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,N,T,FR82	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12709 	15747 	16155 	14497 	: 	: 	: 	: 	: 	: 	: 
A,N,T,FR83	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	291 	866 	336 	336 	: 	: 	: 	: 	: 	: 	: 
A,N,T,FRB0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	252446 	282749 	286272 	295580 	243161 	: 	: 	: 	: 	: 
A,N,T,FRC1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	108336 	115609 	104164 	100968 	99106 	: 	: 	: 	: 	: 
A,N,T,FRC2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24292 	25476 	18651 	21162 	22561 	: 	: 	: 	: 	: 
A,N,T,FRD1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	81834 	80380 	91539 	86734 	92987 	: 	: 	: 	: 	: 
A,N,T,FRD2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	124532 	135101 	125320 	117852 	134732 	: 	: 	: 	: 	: 
A,N,T,FRE1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	74111 	78079 	73861 	62188 	63977 	: 	: 	: 	: 	: 
A,N,T,FRE2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	185137 	196987 	195709 	191648 	176639 	: 	: 	: 	: 	: 
A,N,T,FRF1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37905 	41012 	36004 	39583 	40305 	: 	: 	: 	: 	: 
A,N,T,FRF2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	211848 	210947 	213097 	245948 	210296 	: 	: 	: 	: 	: 
A,N,T,FRF3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	107175 	108876 	137219 	137037 	130480 	: 	: 	: 	: 	: 
A,N,T,FRG0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	143274 	137489 	147914 	162305 	133811 	: 	: 	: 	: 	: 
A,N,T,FRH0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	132237 	129916 	127113 	125013 	115664 	: 	: 	: 	: 	: 
A,N,T,FRI1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	140149 	135803 	142968 	158212 	143825 	: 	: 	: 	: 	: 
A,N,T,FRI2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15623 	15023 	13838 	16095 	18617 	: 	: 	: 	: 	: 
A,N,T,FRI3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	179250 	170687 	180851 	167170 	156541 	: 	: 	: 	: 	: 
A,N,T,FRJ1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37598 	31695 	29753 	37198 	40791 	: 	: 	: 	: 	: 
A,N,T,FRJ2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	110114 	121025 	110153 	103702 	129514 	: 	: 	: 	: 	: 
A,N,T,FRK1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	47245 	41360 	36806 	40060 	40315 	: 	: 	: 	: 	: 
